caso_id,mensaje,subintencion_esperada,mensaje_normalizado,evidencias_matcher,evidencias_lemas,lemas,lemas_apoyan_subintencion,error
caso_001,"Parce, ¿qué almuerzo tienen barato?",solicitar_recomendacion_por_presupuesto,"parce, ¿qué almuerzo tienen barato?",[],"[{""lemma"": ""tener"", ""matched_text"": ""tienen"", ""intent"": ""catalogo"", ""subintent"": ""consultar_producto"", ""weight"": 0.12, ""token_index"": 5, ""source"": ""catalog_fallback""}]","[{""text"": ""parce"", ""lemma"": ""parce"", ""source"": ""spacy""}, {""text"": ""qué"", ""lemma"": ""qué"", ""source"": ""spacy""}, {""text"": ""almuerzo"", ""lemma"": ""almuerzo"", ""source"": ""spacy""}, {""text"": ""tienen"", ""lemma"": ""tener"", ""source"": ""catalog_fallback""}, {""text"": ""barato"", ""lemma"": ""barato"", ""source"": ""spacy""}]",False,
caso_002,¿Hay ejecutivo hoy?,consultar_categoria,¿hay ejecutivo hoy?,[],"[{""lemma"": ""haber"", ""matched_text"": ""hay"", ""intent"": ""catalogo"", ""subintent"": ""consultar_producto"", ""weight"": 0.12, ""token_index"": 1, ""source"": ""catalog_fallback""}]","[{""text"": ""hay"", ""lemma"": ""haber"", ""source"": ""catalog_fallback""}, {""text"": ""ejecutivo"", ""lemma"": ""ejecutivo"", ""source"": ""spacy""}, {""text"": ""hoy"", ""lemma"": ""hoy"", ""source"": ""spacy""}]",False,
caso_003,¿Qué puedo pedir con veinte lucas?,solicitar_recomendacion_por_presupuesto,¿qué puedo pedir con veinte lucas?,"[{""rule_id"": ""PRICE_BUDGET"", ""intent"": ""precio"", ""subintent"": ""solicitar_recomendacion_por_presupuesto"", ""weight"": 0.58, ""text"": ""con veinte"", ""start_token"": 4, ""end_token"": 6, ""requires_context"": false}, {""rule_id"": ""PRICE_BUDGET"", ""intent"": ""precio"", ""subintent"": ""solicitar_recomendacion_por_presupuesto"", ""weight"": 0.58, ""text"": ""con veinte lucas"", ""start_token"": 4, ""end_token"": 7, ""requires_context"": false}, {""rule_id"": ""QUANTITY_ONLY"", ""intent"": ""pedido"", ""subintent"": ""indicar_cantidad"", ""weight"": 0.38, ""text"": ""veinte"", ""start_token"": 5, ""end_token"": 6, ""requires_context"": true}]","[{""lemma"": ""pedir"", ""matched_text"": ""pedir"", ""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""weight"": 0.24, ""token_index"": 3, ""source"": ""catalog_fallback""}]","[{""text"": ""qué"", ""lemma"": ""qué"", ""source"": ""spacy""}, {""text"": ""puedo"", ""lemma"": ""poder"", ""source"": ""spacy""}, {""text"": ""pedir"", ""lemma"": ""pedir"", ""source"": ""catalog_fallback""}, {""text"": ""con"", ""lemma"": ""con"", ""source"": ""spacy""}, {""text"": ""veinte"", ""lemma"": ""veinte"", ""source"": ""spacy""}, {""text"": ""lucas"", ""lemma"": ""luca"", ""source"": ""spacy""}]",False,
caso_004,¿Reciben Nequi?,consultar_medio_pago,¿reciben nequi?,"[{""rule_id"": ""PAYMENT_QUERY"", ""intent"": ""pago"", ""subintent"": ""consultar_medio_pago"", ""weight"": 0.55, ""text"": ""reciben nequi"", ""start_token"": 1, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""PAYMENT_QUERY"", ""intent"": ""pago"", ""subintent"": ""consultar_medio_pago"", ""weight"": 0.55, ""text"": ""nequi"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}]","[{""lemma"": ""aceptar"", ""matched_text"": ""reciben"", ""intent"": ""pago"", ""subintent"": ""consultar_medio_pago"", ""weight"": 0.15, ""token_index"": 1, ""source"": ""catalog_fallback""}]","[{""text"": ""reciben"", ""lemma"": ""aceptar"", ""source"": ""catalog_fallback""}, {""text"": ""nequi"", ""lemma"": ""nequi"", ""source"": ""spacy""}]",True,
caso_005,¿El domi cuánto vale?,consultar_domicilio,¿el domicilio cuánto vale?,"[{""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""domicilio"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""domicilio"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""domicilio cuánto"", ""start_token"": 2, ""end_token"": 4, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""domicilio cuánto vale"", ""start_token"": 2, ""end_token"": 5, ""requires_context"": false}]","[{""lemma"": ""valer"", ""matched_text"": ""vale"", ""intent"": ""precio"", ""subintent"": ""consultar_precio_producto"", ""weight"": 0.22, ""token_index"": 4, ""source"": ""catalog_fallback""}, {""lemma"": ""domicilio"", ""matched_text"": ""domicilio"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.2, ""token_index"": 2, ""source"": ""catalog_fallback""}]","[{""text"": ""el"", ""lemma"": ""el"", ""source"": ""spacy""}, {""text"": ""domicilio"", ""lemma"": ""domicilio"", ""source"": ""catalog_fallback""}, {""text"": ""cuánto"", ""lemma"": ""cuánto"", ""source"": ""spacy""}, {""text"": ""vale"", ""lemma"": ""valer"", ""source"": ""catalog_fallback""}]",True,
caso_006,Pásame el menú,solicitar_menu,pásame el menú,"[{""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": true}, {""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}]",[],"[{""text"": ""pásame"", ""lemma"": ""pásamar"", ""source"": ""spacy""}, {""text"": ""el"", ""lemma"": ""el"", ""source"": ""spacy""}, {""text"": ""menú"", ""lemma"": ""menú"", ""source"": ""spacy""}]",False,
caso_007,Pásame el menú,solicitar_menu,pásame el menú,"[{""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": true}, {""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}]",[],"[{""text"": ""pásame"", ""lemma"": ""pásamar"", ""source"": ""spacy""}, {""text"": ""el"", ""lemma"": ""el"", ""source"": ""spacy""}, {""text"": ""menú"", ""lemma"": ""menú"", ""source"": ""spacy""}]",False,
caso_008,Mándamelo otra vez,reenviar_menu,mándamelo otra vez,"[{""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""mándamelo"", ""start_token"": 0, ""end_token"": 1, ""requires_context"": true}, {""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""mándamelo otra"", ""start_token"": 0, ""end_token"": 2, ""requires_context"": true}, {""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""mándamelo otra vez"", ""start_token"": 0, ""end_token"": 3, ""requires_context"": true}, {""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""otra"", ""start_token"": 1, ""end_token"": 2, ""requires_context"": true}, {""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""otra vez"", ""start_token"": 1, ""end_token"": 3, ""requires_context"": true}, {""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""vez"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": true}]",[],"[{""text"": ""mándamelo"", ""lemma"": ""mándamelo"", ""source"": ""spacy""}, {""text"": ""otra"", ""lemma"": ""otro"", ""source"": ""spacy""}, {""text"": ""vez"", ""lemma"": ""vez"", ""source"": ""spacy""}]",False,
caso_009,¿Cuánto vale la mojarra frita?,consultar_precio_producto,¿cuánto vale la mojarra frita?,"[{""rule_id"": ""PRICE_Q_WH"", ""intent"": ""precio"", ""subintent"": ""consultar_precio_producto"", ""weight"": 0.55, ""text"": ""cuánto vale la mojarra"", ""start_token"": 1, ""end_token"": 5, ""requires_context"": false}, {""rule_id"": ""PRICE_Q_WH"", ""intent"": ""precio"", ""subintent"": ""consultar_precio_producto"", ""weight"": 0.55, ""text"": ""cuánto vale la mojarra frita"", ""start_token"": 1, ""end_token"": 6, ""requires_context"": false}]","[{""lemma"": ""valer"", ""matched_text"": ""vale"", ""intent"": ""precio"", ""subintent"": ""consultar_precio_producto"", ""weight"": 0.22, ""token_index"": 2, ""source"": ""catalog_fallback""}]","[{""text"": ""cuánto"", ""lemma"": ""cuánto"", ""source"": ""spacy""}, {""text"": ""vale"", ""lemma"": ""valer"", ""source"": ""catalog_fallback""}, {""text"": ""la"", ""lemma"": ""el"", ""source"": ""spacy""}, {""text"": ""mojarra"", ""lemma"": ""mojarra"", ""source"": ""spacy""}, {""text"": ""frita"", ""lemma"": ""frito"", ""source"": ""spacy""}]",True,
caso_010,¿Qué arroces tienen?,consultar_categoria,¿qué arroces tienen?,"[{""rule_id"": ""CATEGORY_QUERY"", ""intent"": ""catalogo"", ""subintent"": ""consultar_categoria"", ""weight"": 0.5, ""text"": ""qué arroces"", ""start_token"": 1, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""CATEGORY_QUERY"", ""intent"": ""catalogo"", ""subintent"": ""consultar_categoria"", ""weight"": 0.5, ""text"": ""qué arroces tienen"", ""start_token"": 1, ""end_token"": 4, ""requires_context"": false}]","[{""lemma"": ""tener"", ""matched_text"": ""tienen"", ""intent"": ""catalogo"", ""subintent"": ""consultar_producto"", ""weight"": 0.12, ""token_index"": 3, ""source"": ""catalog_fallback""}]","[{""text"": ""qué"", ""lemma"": ""qué"", ""source"": ""spacy""}, {""text"": ""arroces"", ""lemma"": ""arroz"", ""source"": ""spacy""}, {""text"": ""tienen"", ""lemma"": ""tener"", ""source"": ""catalog_fallback""}]",False,
