caso_id,mensaje_original,mensaje_normalizado,intencion_esperada,coincidencia_exacta,evidencia_detectada,entidades_detectadas,extraccion_sintactica,error
caso_001,"Parce, ¿qué almuerzo tienen barato?","parce, ¿qué almuerzo tienen barato?",precio.solicitar_recomendacion_por_presupuesto,False,[],[],"{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": []}",
caso_002,¿Hay ejecutivo hoy?,¿hay ejecutivo hoy?,catalogo.consultar_categoria,False,[],"[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""ejecutivo"", ""normalized_text"": ""ejecutivo"", ""start_char"": 5, ""end_char"": 14, ""start_token"": 2, ""end_token"": 3, ""priority"": 70, ""source"": ""PhraseMatcher""}, {""entity_type"": ""FECHA_RELATIVA"", ""entity_id"": ""hoy"", ""canonical"": ""Hoy"", ""text"": ""hoy"", ""normalized_text"": ""hoy"", ""start_char"": 15, ""end_char"": 18, ""start_token"": 3, ""end_token"": 4, ""priority"": 50, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""ejecutivo""}, {""entity_type"": ""FECHA_RELATIVA"", ""entity_id"": ""hoy"", ""canonical"": ""Hoy"", ""text"": ""hoy""}]}",
caso_003,¿Qué puedo pedir con veinte lucas?,¿qué puedo pedir con veinte lucas?,precio.solicitar_recomendacion_por_presupuesto,True,"[{""rule_id"": ""PRICE_BUDGET"", ""intent"": ""precio"", ""subintent"": ""solicitar_recomendacion_por_presupuesto"", ""weight"": 0.58, ""text"": ""con veinte"", ""start_token"": 4, ""end_token"": 6, ""requires_context"": false}, {""rule_id"": ""PRICE_BUDGET"", ""intent"": ""precio"", ""subintent"": ""solicitar_recomendacion_por_presupuesto"", ""weight"": 0.58, ""text"": ""con veinte lucas"", ""start_token"": 4, ""end_token"": 7, ""requires_context"": false}, {""rule_id"": ""QUANTITY_ONLY"", ""intent"": ""pedido"", ""subintent"": ""indicar_cantidad"", ""weight"": 0.38, ""text"": ""veinte"", ""start_token"": 5, ""end_token"": 6, ""requires_context"": true}]",[],"{""quantities"": [], ""monetary_values"": [20000], ""has_negation"": false, ""referenced_entities"": []}",
caso_004,¿Reciben Nequi?,¿reciben nequi?,pago.consultar_medio_pago,True,"[{""rule_id"": ""PAYMENT_QUERY"", ""intent"": ""pago"", ""subintent"": ""consultar_medio_pago"", ""weight"": 0.55, ""text"": ""reciben nequi"", ""start_token"": 1, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""PAYMENT_QUERY"", ""intent"": ""pago"", ""subintent"": ""consultar_medio_pago"", ""weight"": 0.55, ""text"": ""nequi"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}]","[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""nequi"", ""canonical"": ""nequi"", ""text"": ""nequi"", ""normalized_text"": ""nequi"", ""start_char"": 9, ""end_char"": 14, ""start_token"": 2, ""end_token"": 3, ""priority"": 70, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""nequi"", ""canonical"": ""nequi"", ""text"": ""nequi""}]}",
caso_005,¿El domi cuánto vale?,¿el domicilio cuánto vale?,domicilio.consultar_domicilio,True,"[{""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""domicilio"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""domicilio"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""domicilio cuánto"", ""start_token"": 2, ""end_token"": 4, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""domicilio cuánto vale"", ""start_token"": 2, ""end_token"": 5, ""requires_context"": false}]","[{""entity_type"": ""SERVICIO"", ""entity_id"": ""domicilio"", ""canonical"": ""domicilio"", ""text"": ""domicilio"", ""normalized_text"": ""domicilio"", ""start_char"": 4, ""end_char"": 13, ""start_token"": 2, ""end_token"": 3, ""priority"": 60, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""SERVICIO"", ""entity_id"": ""domicilio"", ""canonical"": ""domicilio"", ""text"": ""domicilio""}]}",
caso_006,Pásame el menú,pásame el menú,menu.solicitar_menu,True,"[{""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": true}, {""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}]","[{""entity_type"": ""SERVICIO"", ""entity_id"": ""menu_pdf"", ""canonical"": ""menu_pdf"", ""text"": ""menú"", ""normalized_text"": ""menú"", ""start_char"": 10, ""end_char"": 14, ""start_token"": 2, ""end_token"": 3, ""priority"": 60, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""SERVICIO"", ""entity_id"": ""menu_pdf"", ""canonical"": ""menu_pdf"", ""text"": ""menú""}]}",
caso_007,Pásame el menú,pásame el menú,menu.solicitar_menu,True,"[{""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": true}, {""rule_id"": ""MENU_REQUEST"", ""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""weight"": 0.55, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""DELIVERY_QUERY"", ""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""weight"": 0.54, ""text"": ""menú"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": false}]","[{""entity_type"": ""SERVICIO"", ""entity_id"": ""menu_pdf"", ""canonical"": ""menu_pdf"", ""text"": ""menú"", ""normalized_text"": ""menú"", ""start_char"": 10, ""end_char"": 14, ""start_token"": 2, ""end_token"": 3, ""priority"": 60, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""SERVICIO"", ""entity_id"": ""menu_pdf"", ""canonical"": ""menu_pdf"", ""text"": ""menú""}]}",
caso_008,Mándamelo otra vez,mándamelo otra vez,menu.reenviar_menu,True,"[{""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""mándamelo"", ""start_token"": 0, ""end_token"": 1, ""requires_context"": true}, {""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""mándamelo otra"", ""start_token"": 0, ""end_token"": 2, ""requires_context"": true}, {""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""mándamelo otra vez"", ""start_token"": 0, ""end_token"": 3, ""requires_context"": true}, {""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""otra"", ""start_token"": 1, ""end_token"": 2, ""requires_context"": true}, {""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""otra vez"", ""start_token"": 1, ""end_token"": 3, ""requires_context"": true}, {""rule_id"": ""MENU_RETRY"", ""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""weight"": 0.65, ""text"": ""vez"", ""start_token"": 2, ""end_token"": 3, ""requires_context"": true}]",[],"{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": []}",
caso_009,¿Cuánto vale la mojarra frita?,¿cuánto vale la mojarra frita?,precio.consultar_precio_producto,True,"[{""rule_id"": ""PRICE_Q_WH"", ""intent"": ""precio"", ""subintent"": ""consultar_precio_producto"", ""weight"": 0.55, ""text"": ""cuánto vale la mojarra"", ""start_token"": 1, ""end_token"": 5, ""requires_context"": false}, {""rule_id"": ""PRICE_Q_WH"", ""intent"": ""precio"", ""subintent"": ""consultar_precio_producto"", ""weight"": 0.55, ""text"": ""cuánto vale la mojarra frita"", ""start_token"": 1, ""end_token"": 6, ""requires_context"": false}]","[{""entity_type"": ""PRODUCTO_ESPECIFICO"", ""entity_id"": ""mojarra_frita"", ""canonical"": ""Mojarra Frita"", ""text"": ""mojarra frita"", ""normalized_text"": ""mojarra frita"", ""start_char"": 16, ""end_char"": 29, ""start_token"": 4, ""end_token"": 6, ""priority"": 100, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""PRODUCTO_ESPECIFICO"", ""entity_id"": ""mojarra_frita"", ""canonical"": ""Mojarra Frita"", ""text"": ""mojarra frita""}]}",
caso_010,¿Qué arroces tienen?,¿qué arroces tienen?,catalogo.consultar_categoria,True,"[{""rule_id"": ""CATEGORY_QUERY"", ""intent"": ""catalogo"", ""subintent"": ""consultar_categoria"", ""weight"": 0.5, ""text"": ""qué arroces"", ""start_token"": 1, ""end_token"": 3, ""requires_context"": false}, {""rule_id"": ""CATEGORY_QUERY"", ""intent"": ""catalogo"", ""subintent"": ""consultar_categoria"", ""weight"": 0.5, ""text"": ""qué arroces tienen"", ""start_token"": 1, ""end_token"": 4, ""requires_context"": false}]","[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""arroces"", ""canonical"": ""Arroces"", ""text"": ""arroces"", ""normalized_text"": ""arroces"", ""start_char"": 5, ""end_char"": 12, ""start_token"": 2, ""end_token"": 3, ""priority"": 70, ""source"": ""PhraseMatcher""}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": false, ""referenced_entities"": [{""entity_type"": ""CATEGORIA"", ""entity_id"": ""arroces"", ""canonical"": ""Arroces"", ""text"": ""arroces""}]}",
