caso_id,perfil,mensaje_original,mensaje_normalizado,intencion_esperada,entidades_fase1,entidades_phrase_matcher,cantidad_entities,cantidad_descartadas_solapamiento,error
caso_001,cliente_01_estudiante,"¿reciben nequi, pana?","¿reciben nequi, pana?",consultar_medios_pago,{},"[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""nequi"", ""canonical"": ""nequi"", ""text"": ""nequi"", ""normalized_text"": ""nequi"", ""start_char"": 9, ""end_char"": 14, ""start_token"": 2, ""end_token"": 3, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_002,cliente_01_estudiante,"parce, ¿reciben nequi?","parce, ¿reciben nequi?",consultar_medios_pago,{},"[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""nequi"", ""canonical"": ""nequi"", ""text"": ""nequi"", ""normalized_text"": ""nequi"", ""start_char"": 16, ""end_char"": 21, ""start_token"": 4, ""end_token"": 5, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_003,cliente_01_estudiante,"¿puedo pagar con tarjeta, nea?","¿puedo pagar con tarjeta, nea?",consultar_medios_pago,{},[],0,0,
caso_004,cliente_01_estudiante,"tienen corrientazo, pana?","tienen almuerzo ejecutivo, pana?",solicitar_recomendacion_por_presupuesto,{},"[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""almuerzo ejecutivo"", ""normalized_text"": ""almuerzo ejecutivo"", ""start_char"": 7, ""end_char"": 25, ""start_token"": 1, ""end_token"": 3, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,1,
caso_005,cliente_01_estudiante,quiero una hamburguesa,quiero una hamburguesa,hacer_pedido,{},[],0,0,
caso_006,cliente_01_estudiante,¿reciben nequi?,¿reciben nequi?,consultar_medios_pago,{},"[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""nequi"", ""canonical"": ""nequi"", ""text"": ""nequi"", ""normalized_text"": ""nequi"", ""start_char"": 9, ""end_char"": 14, ""start_token"": 2, ""end_token"": 3, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_007,cliente_01_estudiante,Me regala un cazuela,por favor me da un cazuela,hacer_pedido,{},"[{""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""cazuela"", ""canonical"": ""cazuela"", ""text"": ""cazuela"", ""normalized_text"": ""cazuela"", ""start_char"": 19, ""end_char"": 26, ""start_token"": 5, ""end_token"": 6, ""priority"": 80, ""source"": ""PhraseMatcher""}]",1,0,
caso_008,cliente_01_estudiante,¿qué almuerzo tienen barato?,¿qué almuerzo tienen barato?,solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_009,cliente_01_estudiante,necesito pedir un ejecutivo,necesito pedir un ejecutivo,hacer_pedido,{},"[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""ejecutivo"", ""normalized_text"": ""ejecutivo"", ""start_char"": 18, ""end_char"": 27, ""start_token"": 3, ""end_token"": 4, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_010,cliente_01_estudiante,"¿puedo pagar con tarjeta, nea?","¿puedo pagar con tarjeta, nea?",consultar_medios_pago,{},[],0,0,
caso_011,cliente_01_estudiante,qué puedo pedir con 15 mil?,qué puedo pedir con 15 mil?,solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_012,cliente_01_estudiante,"algo por menos de 15 mil, nea?","algo por menos de 15 mil, nea?",solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_013,cliente_01_estudiante,me regala un ejecutivo,por favor me da un ejecutivo,hacer_pedido,{},"[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""ejecutivo"", ""normalized_text"": ""ejecutivo"", ""start_char"": 19, ""end_char"": 28, ""start_token"": 5, ""end_token"": 6, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_014,cliente_01_estudiante,algo por menos de veinte lucas?,algo por menos de veinte lucas?,solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_015,cliente_01_estudiante,"nea, tienen corrientazo?","nea, tienen almuerzo ejecutivo?",solicitar_recomendacion_por_presupuesto,{},"[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""almuerzo ejecutivo"", ""normalized_text"": ""almuerzo ejecutivo"", ""start_char"": 12, ""end_char"": 30, ""start_token"": 3, ""end_token"": 5, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,1,
caso_016,cliente_01_estudiante,"bro, ¿reciben nequi?","bro, ¿reciben nequi?",consultar_medios_pago,{},"[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""nequi"", ""canonical"": ""nequi"", ""text"": ""nequi"", ""normalized_text"": ""nequi"", ""start_char"": 14, ""end_char"": 19, ""start_token"": 4, ""end_token"": 5, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_017,cliente_01_estudiante,¿tienen daviplata?,¿tienen daviplata?,consultar_medios_pago,{},"[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""daviplata"", ""canonical"": ""daviplata"", ""text"": ""daviplata"", ""normalized_text"": ""daviplata"", ""start_char"": 8, ""end_char"": 17, ""start_token"": 2, ""end_token"": 3, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_018,cliente_01_estudiante,"parce, algo por menos de 15 mil?","parce, algo por menos de 15 mil?",solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_019,cliente_01_estudiante,Necesito pedir un ejecutivo,necesito pedir un ejecutivo,hacer_pedido,{},"[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""ejecutivo"", ""normalized_text"": ""ejecutivo"", ""start_char"": 18, ""end_char"": 27, ""start_token"": 3, ""end_token"": 4, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_020,cliente_01_estudiante,tienen corrientazo?,tienen almuerzo ejecutivo?,solicitar_recomendacion_por_presupuesto,{},"[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""almuerzo ejecutivo"", ""normalized_text"": ""almuerzo ejecutivo"", ""start_char"": 7, ""end_char"": 25, ""start_token"": 1, ""end_token"": 3, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,1,
caso_021,cliente_01_estudiante,qué puedo pedir con 15 mil?,qué puedo pedir con 15 mil?,solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_022,cliente_01_estudiante,"parce, ¿tienen daviplata?","parce, ¿tienen daviplata?",consultar_medios_pago,{},"[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""daviplata"", ""canonical"": ""daviplata"", ""text"": ""daviplata"", ""normalized_text"": ""daviplata"", ""start_char"": 15, ""end_char"": 24, ""start_token"": 4, ""end_token"": 5, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_023,cliente_01_estudiante,¿puedo pagar con tarjeta?,¿puedo pagar con tarjeta?,consultar_medios_pago,{},[],0,0,
caso_024,cliente_01_estudiante,"pana, ¿qué almuerzo tienen barato?","pana, ¿qué almuerzo tienen barato?",solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_025,cliente_01_estudiante,"nea, se puede pagar con transferencia?","nea, puedo pagar con transferencia?",consultar_medios_pago,{},"[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""transferencia_bancaria"", ""canonical"": ""transferencia_bancaria"", ""text"": ""transferencia"", ""normalized_text"": ""transferencia"", ""start_char"": 21, ""end_char"": 34, ""start_token"": 5, ""end_token"": 6, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_026,cliente_01_estudiante,"Mándeme una pescado, parce","mándeme una pescado, parce",hacer_pedido,{},"[{""entity_type"": ""ALERGENO"", ""entity_id"": ""pescado"", ""canonical"": ""Pescado"", ""text"": ""pescado"", ""normalized_text"": ""pescado"", ""start_char"": 12, ""end_char"": 19, ""start_token"": 2, ""end_token"": 3, ""priority"": 90, ""source"": ""PhraseMatcher""}, {""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""pescado"", ""canonical"": ""pescado"", ""text"": ""pescado"", ""normalized_text"": ""pescado"", ""start_char"": 12, ""end_char"": 19, ""start_token"": 2, ""end_token"": 3, ""priority"": 80, ""source"": ""PhraseMatcher""}, {""entity_type"": ""CATEGORIA"", ""entity_id"": ""pescados"", ""canonical"": ""Pescados"", ""text"": ""pescado"", ""normalized_text"": ""pescado"", ""start_char"": 12, ""end_char"": 19, ""start_token"": 2, ""end_token"": 3, ""priority"": 70, ""source"": ""PhraseMatcher""}]",3,0,
caso_027,cliente_01_estudiante,"nea, algo por menos de 15 mil?","nea, algo por menos de 15 mil?",solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_028,cliente_01_estudiante,tienen corrientazo?,tienen almuerzo ejecutivo?,solicitar_recomendacion_por_presupuesto,{},"[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""almuerzo ejecutivo"", ""normalized_text"": ""almuerzo ejecutivo"", ""start_char"": 7, ""end_char"": 25, ""start_token"": 1, ""end_token"": 3, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,1,
caso_029,cliente_01_estudiante,"nea, algo por menos de treinta lucas?","nea, algo por menos de treinta lucas?",solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_030,cliente_01_estudiante,"quiero una combo, nea","quiero una combo, nea",hacer_pedido,{},[],0,0,
caso_031,cliente_01_estudiante,"bro, se puede pagar con transferencia?","bro, puedo pagar con transferencia?",consultar_medios_pago,{},"[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""transferencia_bancaria"", ""canonical"": ""transferencia_bancaria"", ""text"": ""transferencia"", ""normalized_text"": ""transferencia"", ""start_char"": 21, ""end_char"": 34, ""start_token"": 5, ""end_token"": 6, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_032,cliente_01_estudiante,"qué puedo pedir con veinte lucas, nea?","qué puedo pedir con veinte lucas, nea?",solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_033,cliente_01_estudiante,¿reciben nequi?,¿reciben nequi?,consultar_medios_pago,{},"[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""nequi"", ""canonical"": ""nequi"", ""text"": ""nequi"", ""normalized_text"": ""nequi"", ""start_char"": 9, ""end_char"": 14, ""start_token"": 2, ""end_token"": 3, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_034,cliente_01_estudiante,algo por menos de veinte lucas?,algo por menos de veinte lucas?,solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_035,cliente_01_estudiante,"pana, necesito pedir un ejecutivo","pana, necesito pedir un ejecutivo",hacer_pedido,{},"[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""ejecutivo"", ""normalized_text"": ""ejecutivo"", ""start_char"": 24, ""end_char"": 33, ""start_token"": 5, ""end_token"": 6, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_036,cliente_01_estudiante,necesito pedir un cazuela,necesito pedir un cazuela,hacer_pedido,{},"[{""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""cazuela"", ""canonical"": ""cazuela"", ""text"": ""cazuela"", ""normalized_text"": ""cazuela"", ""start_char"": 18, ""end_char"": 25, ""start_token"": 3, ""end_token"": 4, ""priority"": 80, ""source"": ""PhraseMatcher""}]",1,0,
caso_037,cliente_01_estudiante,¿qué almuerzo tienen barato?,¿qué almuerzo tienen barato?,solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_038,cliente_01_estudiante,qué puedo pedir con 15 mil?,qué puedo pedir con 15 mil?,solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_039,cliente_01_estudiante,"¿reciben nequi, pana?","¿reciben nequi, pana?",consultar_medios_pago,{},"[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""nequi"", ""canonical"": ""nequi"", ""text"": ""nequi"", ""normalized_text"": ""nequi"", ""start_char"": 9, ""end_char"": 14, ""start_token"": 2, ""end_token"": 3, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_040,cliente_01_estudiante,"qué puedo pedir con 15 mil, bro?","qué puedo pedir con 15 mil, bro?",solicitar_recomendacion_por_presupuesto,{},[],0,0,
caso_041,cliente_02_oficinista,"Joven, me regala la cuenta","joven, por favor me da la cuenta",solicitar_factura,{},[],0,0,
caso_042,cliente_02_oficinista,Por donde viene el domiciliario?,dónde está mi pedido el domiciliario?,consultar_tiempo_entrega,{},[],0,0,
caso_043,cliente_02_oficinista,Mándeme una combo,mándeme una combo,hacer_pedido,{},[],0,0,
caso_044,cliente_02_oficinista,"Joven, ¿Ya casi llega mi pedido?","joven, ¿dónde está mi pedido mi pedido?",consultar_tiempo_entrega,{},[],0,0,
caso_045,cliente_02_oficinista,"Señorita, por donde viene el domiciliario?","señorita, dónde está mi pedido el domiciliario?",consultar_tiempo_entrega,{},[],0,0,
caso_046,cliente_02_oficinista,Por donde viene el domiciliario?,dónde está mi pedido el domiciliario?,consultar_tiempo_entrega,{},[],0,0,
caso_047,cliente_02_oficinista,¿Ya casi llega mi pedido?,¿dónde está mi pedido mi pedido?,consultar_tiempo_entrega,{},[],0,0,
caso_048,cliente_02_oficinista,"Necesito pedir un combo, señorita","necesito pedir un combo, señorita",hacer_pedido,{},[],0,0,
caso_049,cliente_02_oficinista,¿Me envían factura?,¿me envían factura?,solicitar_factura,{},"[{""entity_type"": ""SERVICIO"", ""entity_id"": ""factura_electronica"", ""canonical"": ""Factura electrónica"", ""text"": ""factura"", ""normalized_text"": ""factura"", ""start_char"": 11, ""end_char"": 18, ""start_token"": 3, ""end_token"": 4, ""priority"": 60, ""source"": ""PhraseMatcher""}]",1,0,
caso_050,cliente_02_oficinista,Me regala la cuenta,por favor me da la cuenta,solicitar_factura,{},[],0,0,
caso_051,cliente_02_oficinista,¿Ya casi llega mi pedido?,¿dónde está mi pedido mi pedido?,consultar_tiempo_entrega,{},[],0,0,
caso_052,cliente_02_oficinista,Me regala la cuenta,por favor me da la cuenta,solicitar_factura,{},[],0,0,
caso_053,cliente_02_oficinista,Por donde viene el domiciliario?,dónde está mi pedido el domiciliario?,consultar_tiempo_entrega,{},[],0,0,
caso_054,cliente_02_oficinista,Cuánto se demora?,cuál es el tiempo de entrega?,consultar_tiempo_entrega,{},"[{""entity_type"": ""SERVICIO"", ""entity_id"": ""domicilio"", ""canonical"": ""domicilio"", ""text"": ""entrega"", ""normalized_text"": ""entrega"", ""start_char"": 21, ""end_char"": 28, ""start_token"": 5, ""end_token"": 6, ""priority"": 60, ""source"": ""PhraseMatcher""}]",1,0,
caso_055,cliente_02_oficinista,"Señorita, quiero una combo","señorita, quiero una combo",hacer_pedido,{},[],0,0,
caso_056,cliente_02_oficinista,Me regala un hamburguesa,por favor me da un hamburguesa,hacer_pedido,{},[],0,0,
caso_057,cliente_02_oficinista,Necesito pedir un hamburguesa,necesito pedir un hamburguesa,hacer_pedido,{},[],0,0,
caso_058,cliente_02_oficinista,Necesito pedir un combo,necesito pedir un combo,hacer_pedido,{},[],0,0,
caso_059,cliente_02_oficinista,Me regala un ejecutivo,por favor me da un ejecutivo,hacer_pedido,{},"[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""ejecutivo"", ""normalized_text"": ""ejecutivo"", ""start_char"": 19, ""end_char"": 28, ""start_token"": 5, ""end_token"": 6, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,0,
caso_060,cliente_02_oficinista,Me regala un corrientazo,por favor me da un almuerzo ejecutivo,hacer_pedido,{},"[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""almuerzo ejecutivo"", ""normalized_text"": ""almuerzo ejecutivo"", ""start_char"": 19, ""end_char"": 37, ""start_token"": 5, ""end_token"": 7, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,1,
caso_061,cliente_02_oficinista,Me regala la cuenta,por favor me da la cuenta,solicitar_factura,{},[],0,0,
caso_062,cliente_02_oficinista,"Joven, me manda la cotiza?","joven, me manda la cotización?",solicitar_factura,{},[],0,0,
caso_063,cliente_02_oficinista,Me regala un cazuela,por favor me da un cazuela,hacer_pedido,{},"[{""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""cazuela"", ""canonical"": ""cazuela"", ""text"": ""cazuela"", ""normalized_text"": ""cazuela"", ""start_char"": 19, ""end_char"": 26, ""start_token"": 5, ""end_token"": 6, ""priority"": 80, ""source"": ""PhraseMatcher""}]",1,0,
