caso_id,perfil,mensaje,intencion_esperada,subintencion_esperada,intencion_resuelta,subintencion_resuelta,confianza,estado,requiere_aclaracion_esperado,requiere_aclaracion_resuelto,modo_intervencion_esperado,modo_intervencion_resuelto,razon_aclaracion,slots_faltantes_esperados,slots_faltantes_resueltos,slots_faltantes_correctos,clave_pregunta_esperada,clave_pregunta_resuelta,clave_pregunta_correcta,lectura_excluida_activada,mensaje_aclaracion,intencion_correcta,subintencion_correcta,aclaracion_correcta,modo_intervencion_correcto,reglas_aplicadas,candidatos,error
caso_001,perfil_01_coloquial_presupuesto,"Parce, tengo un presupuesto máximo de treinta y cinco mil pesos y quisiera saber qué plato de mar me alcanza. Quiero ver qué me alcanza con ese monto; todavía no armen el pedido.",precio,solicitar_recomendacion_por_presupuesto,pedido,iniciar_pedido,0.4214324663948458,needs_user_clarification,True,True,needs_business_lookup,needs_user_clarification,missing:product,[],"[""product""]",False,budget_recommendation_lookup,missing_order_product,False,True,¿Qué plato deseas pedir?,False,False,True,False,[],"[{""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""score"": 0.384, ""priority"": 90, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.192, ""detail"": ""pedir""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""querer""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""querer""}]}, {""intent"": ""catalogo"", ""subintent"": ""consultar_producto"", ""score"": 0.096, ""priority"": 70, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""tener""}]}]",
caso_002,perfil_01_coloquial_presupuesto,"Parce, necesito saber esto: quiero consultar el estado del domicilio de mi pedido. Necesito seguimiento de una entrega ya creada, no conocer las condiciones generales del servicio.",domicilio,consultar_estado_domicilio,domicilio,consultar_estado_domicilio,0.99,needs_identity_verification,True,True,needs_identity_verification,needs_identity_verification,needs_identity_verification,[],[],True,identity_verification_required,identity_verification_required,True,False,"Antes de consultar o reutilizar información de pedidos o direcciones anteriores, necesito que la aplicación verifique tu identidad.",True,True,True,True,"[""PRIORITY_DELIVERY_STATUS"", ""POLICY_IDENTITY_VERIFICATION""]","[{""intent"": ""domicilio"", ""subintent"": ""consultar_estado_domicilio"", ""score"": 4.22, ""priority"": 75, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.84, ""detail"": ""DELIVERY_STATUS""}, {""source"": ""Matcher"", ""weight"": 0.84, ""detail"": ""DELIVERY_STATUS""}, {""source"": ""Matcher"", ""weight"": 0.84, ""detail"": ""DELIVERY_STATUS""}, {""source"": ""Matcher"", ""weight"": 0.84, ""detail"": ""DELIVERY_STATUS""}, {""source"": ""PriorityRule"", ""weight"": 0.86, ""detail"": ""explicit_delivery_status""}]}, {""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""score"": 0.84, ""priority"": 75, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.16, ""detail"": ""domicilio""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.16, ""detail"": ""domicilio""}, {""source"": ""PhraseMatcher"", ""weight"": 0.26, ""detail"": ""SERVICIO:domicilio""}, {""source"": ""PhraseMatcher"", ""weight"": 0.26, ""detail"": ""SERVICIO:domicilio""}]}, {""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""score"": 0.288, ""priority"": 90, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.192, ""detail"": ""pedir""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""querer""}]}]",
caso_003,perfil_01_coloquial_presupuesto,"Pana, voy con esta pregunta: necesito consultar precios, pero aún no he decidido qué plato quiero revisar. Quiero consultar un precio, pero aún no he escogido el plato.",precio,consultar_precios_generales,precio,consultar_precios_generales,0.8543283263118201,needs_user_clarification,True,True,needs_user_clarification,needs_user_clarification,missing:product,"[""product""]","[""product""]",True,missing_product_for_price,missing_product_for_price,True,False,¿De cuál plato deseas conocer el precio?,True,True,True,True,[],"[{""intent"": ""precio"", ""subintent"": ""consultar_precios_generales"", ""score"": 1.288, ""priority"": 95, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.5, ""detail"": ""PRICE_GENERAL""}, {""source"": ""Matcher"", ""weight"": 0.5, ""detail"": ""PRICE_GENERAL""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.144, ""detail"": ""precio""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.144, ""detail"": ""precio""}]}, {""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""score"": 0.192, ""priority"": 90, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""querer""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""querer""}]}, {""intent"": ""catalogo"", ""subintent"": ""consultar_producto"", ""score"": 0.192, ""priority"": 70, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""haber""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""haber""}]}]",
caso_004,perfil_01_coloquial_presupuesto,"Parce, estoy cuidando las lucas, pero ahora no pregunto por precios: antes de hacer el pedido, quisiera confirmar si reciben pagos por código QR. Solo quiero saber si aceptan ese medio; todavía no estoy pagando un pedido.",pago,consultar_medio_pago,pago,consultar_medio_pago,0.9295745094726944,resolved,False,False,resolved,resolved,,[],[],True,,,True,False,,True,True,True,True,[],"[{""intent"": ""pago"", ""subintent"": ""consultar_medio_pago"", ""score"": 1.94, ""priority"": 75, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.55, ""detail"": ""PAYMENT_QUERY""}, {""source"": ""Matcher"", ""weight"": 0.55, ""detail"": ""PAYMENT_QUERY""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.16, ""detail"": ""pagar""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.16, ""detail"": ""pagar""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.12, ""detail"": ""aceptar""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.12, ""detail"": ""aceptar""}, {""source"": ""PhraseMatcher"", ""weight"": 0.28, ""detail"": ""MEDIO_PAGO:pago_qr""}]}, {""intent"": ""precio"", ""subintent"": ""consultar_precios_generales"", ""score"": 0.644, ""priority"": 95, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.5, ""detail"": ""PRICE_GENERAL""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.144, ""detail"": ""precio""}]}, {""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""score"": 0.576, ""priority"": 90, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.192, ""detail"": ""pedir""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.192, ""detail"": ""pedir""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""querer""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""querer""}]}]",
caso_005,perfil_01_coloquial_presupuesto,"Mi llave, el presupuesto lo reviso después; en este turno necesito esto: ¿puedo pagar una parte por efectivo y completar el resto con tarjeta? Necesito que el restaurante confirme si permite dividir el pago; aún no estoy efectuándolo.",pago,consultar_pago_mixto,pago,consultar_pago_mixto,0.8472572278168683,needs_business_lookup,True,True,needs_business_lookup,needs_business_lookup,needs_business_lookup,[],[],True,mixed_payment_lookup,mixed_payment_lookup,True,False,Debo confirmar si el restaurante permite combinar esos medios de pago.,True,True,True,True,"[""PRIORITY_MIXED_PAYMENT""]","[{""intent"": ""pago"", ""subintent"": ""consultar_pago_mixto"", ""score"": 1.8, ""priority"": 75, ""reasons"": [{""source"": ""Matcher"", ""weight"": 1.25, ""detail"": ""PAYMENT_MIXED""}, {""source"": ""PriorityRule"", ""weight"": 0.55, ""detail"": ""multiple_payment_methods""}]}, {""intent"": ""pago"", ""subintent"": ""consultar_medio_pago"", ""score"": 1.43, ""priority"": 75, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.55, ""detail"": ""PAYMENT_QUERY""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.16, ""detail"": ""pagar""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.16, ""detail"": ""pagar""}, {""source"": ""PhraseMatcher"", ""weight"": 0.28, ""detail"": ""MEDIO_PAGO:efectivo""}, {""source"": ""PhraseMatcher"", ""weight"": 0.28, ""detail"": ""MEDIO_PAGO:tarjeta""}]}]",
caso_006,perfil_01_coloquial_presupuesto,"Pana, aunque estoy midiendo la plata, mi solicitud concreta es: no sé cuál escoger; ¿qué plato me recomiendan si prefiero algo de sabor suave? Quiero orientación para escoger; la recomendación todavía no es un pedido.",recomendacion,solicitar_recomendacion,recomendacion,solicitar_recomendacion,0.8904309133098246,resolved,False,False,resolved,resolved,,[],[],True,,,True,False,,True,True,True,True,[],"[{""intent"": ""recomendacion"", ""subintent"": ""solicitar_recomendacion"", ""score"": 1.508, ""priority"": 65, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.56, ""detail"": ""RECOMMENDATION_QUALITY""}, {""source"": ""Matcher"", ""weight"": 0.5, ""detail"": ""RECOMMENDATION_QUERY""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.224, ""detail"": ""recomendar""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.224, ""detail"": ""recomendar""}]}, {""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""score"": 0.288, ""priority"": 90, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.192, ""detail"": ""pedir""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""querer""}]}]",
caso_007,perfil_01_coloquial_presupuesto,"Parce, estoy cuidando las lucas, pero ahora no pregunto por precios: ¿me pueden compartir el menú completo para revisar platos, presentaciones y precios? Quiero recibir o ver la carta completa, no consultar un único plato.",menu,solicitar_menu,precio,consultar_precios_generales,0.715152121254176,needs_user_clarification,False,True,resolved,needs_user_clarification,missing:product,[],"[""product""]",False,,missing_product_for_price,False,False,¿De cuál plato deseas conocer el precio?,False,False,False,False,[],"[{""intent"": ""precio"", ""subintent"": ""consultar_precios_generales"", ""score"": 1.288, ""priority"": 95, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.5, ""detail"": ""PRICE_GENERAL""}, {""source"": ""Matcher"", ""weight"": 0.5, ""detail"": ""PRICE_GENERAL""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.144, ""detail"": ""precio""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.144, ""detail"": ""precio""}]}, {""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""score"": 1.15, ""priority"": 80, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.55, ""detail"": ""MENU_REQUEST""}, {""source"": ""PhraseMatcher"", ""weight"": 0.3, ""detail"": ""SERVICIO:menu_pdf""}, {""source"": ""PhraseMatcher"", ""weight"": 0.3, ""detail"": ""SERVICIO:menu_pdf""}]}, {""intent"": ""pago"", ""subintent"": ""consultar_medio_pago"", ""score"": 0.12, ""priority"": 75, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.12, ""detail"": ""aceptar""}]}, {""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""score"": 0.096, ""priority"": 90, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""querer""}]}]",
caso_008,perfil_01_coloquial_presupuesto,"Mi llave, el presupuesto lo reviso después; en este turno necesito esto: quiero pedir una porción de mojarra frita para el almuerzo de hoy. Esto sí es para pedir el producto; no estoy preguntando solamente por precio o disponibilidad.",pedido,iniciar_pedido,pedido,iniciar_pedido,0.973747656034312,needs_transaction_confirmation,True,True,needs_transaction_confirmation,needs_transaction_confirmation,needs_transaction_confirmation,[],[],True,confirm_order,confirm_order,True,False,Entendí el pedido. ¿Deseas que lo confirme con esos productos y cantidades?,True,True,True,True,"[""CTX_CANTIDAD_PRODUCTO"", ""PRIORITY_PRICE_OVER_WANT"", ""PRIORITY_NEGATION_MODIFICATION""]","[{""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""score"": 2.8, ""priority"": 90, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.58, ""detail"": ""ORDER_WANT_PRODUCT""}, {""source"": ""Matcher"", ""weight"": 0.58, ""detail"": ""ORDER_WANT_PRODUCT""}, {""source"": ""Matcher"", ""weight"": 0.58, ""detail"": ""ORDER_WANT_PRODUCT""}, {""source"": ""Matcher"", ""weight"": 0.58, ""detail"": ""ORDER_WANT_PRODUCT""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.192, ""detail"": ""pedir""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.192, ""detail"": ""pedir""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""querer""}]}, {""intent"": ""pedido"", ""subintent"": ""seleccionar_preparacion"", ""score"": 1.2, ""priority"": 90, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.6, ""detail"": ""ORDER_SELECT_PREPARATION_COMMAND""}, {""source"": ""Matcher"", ""weight"": 0.6, ""detail"": ""ORDER_SELECT_PREPARATION""}]}, {""intent"": ""precio"", ""subintent"": ""consultar_precios_generales"", ""score"": 0.644, ""priority"": 95, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.5, ""detail"": ""PRICE_GENERAL""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.144, ""detail"": ""precio""}]}, {""intent"": ""precio"", ""subintent"": ""consultar_precio_producto"", ""score"": 0.48, ""priority"": 95, ""reasons"": [{""source"": ""PriorityRule"", ""weight"": 0.48, ""detail"": ""explicit_price_with_product""}]}, {""intent"": ""pedido"", ""subintent"": ""solicitar_modificacion"", ""score"": 0.48, ""priority"": 90, ""reasons"": [{""source"": ""PriorityRule"", ""weight"": 0.48, ""detail"": ""negation_modification""}]}]",
caso_009,perfil_01_coloquial_presupuesto,"Pana, aunque estoy midiendo la plata, mi solicitud concreta es: ¿cómo funciona el domicilio, cuánto suele tardar y qué condiciones manejan para la entrega? Por ahora solo quiero conocer las condiciones del domicilio; no estoy solicitando el envío.",domicilio,consultar_domicilio,domicilio,consultar_domicilio,0.9510815180539038,needs_business_lookup,True,True,needs_business_lookup,needs_business_lookup,needs_business_lookup,[],[],True,delivery_lookup,delivery_lookup,True,False,"Debo validar la cobertura, el costo y el tiempo estimado del domicilio.",True,True,True,True,[],"[{""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""score"": 1.928, ""priority"": 75, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.54, ""detail"": ""DELIVERY_QUERY""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.16, ""detail"": ""domicilio""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.16, ""detail"": ""domicilio""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.16, ""detail"": ""domicilio""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.128, ""detail"": ""demorar""}, {""source"": ""PhraseMatcher"", ""weight"": 0.26, ""detail"": ""SERVICIO:domicilio""}, {""source"": ""PhraseMatcher"", ""weight"": 0.26, ""detail"": ""SERVICIO:domicilio""}, {""source"": ""PhraseMatcher"", ""weight"": 0.26, ""detail"": ""SERVICIO:domicilio""}]}, {""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""score"": 0.096, ""priority"": 90, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""querer""}]}]",
caso_010,perfil_01_coloquial_presupuesto,"Parce, necesito esto: quiero que envíen el pedido a domicilio. Todavía no he indicado cuál pedido ni la dirección de entrega.",domicilio,solicitar_domicilio,domicilio,solicitar_domicilio,0.99,needs_user_clarification,True,True,needs_user_clarification,needs_user_clarification,"missing:order,delivery_address","[""delivery_address"", ""order""]","[""delivery_address"", ""order""]",True,missing_delivery_order,missing_delivery_order,True,False,¿Cuál pedido deseas enviar a domicilio?,True,True,True,True,"[""PRIORITY_DELIVERY_REQUEST""]","[{""intent"": ""domicilio"", ""subintent"": ""solicitar_domicilio"", ""score"": 3.98, ""priority"": 75, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.8, ""detail"": ""DELIVERY_REQUEST""}, {""source"": ""Matcher"", ""weight"": 0.8, ""detail"": ""DELIVERY_REQUEST""}, {""source"": ""Matcher"", ""weight"": 0.8, ""detail"": ""DELIVERY_REQUEST""}, {""source"": ""Matcher"", ""weight"": 0.8, ""detail"": ""DELIVERY_REQUEST""}, {""source"": ""PriorityRule"", ""weight"": 0.78, ""detail"": ""explicit_delivery_request""}]}, {""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""score"": 0.84, ""priority"": 75, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.16, ""detail"": ""domicilio""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.16, ""detail"": ""domicilio""}, {""source"": ""PhraseMatcher"", ""weight"": 0.26, ""detail"": ""SERVICIO:domicilio""}, {""source"": ""PhraseMatcher"", ""weight"": 0.26, ""detail"": ""SERVICIO:domicilio""}]}, {""intent"": ""horario_ubicacion"", ""subintent"": ""consultar_ubicacion"", ""score"": 0.52, ""priority"": 60, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.52, ""detail"": ""LOCATION_ADDRESS_REFERENCE""}]}, {""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""score"": 0.48, ""priority"": 90, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.192, ""detail"": ""pedir""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.192, ""detail"": ""pedir""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""querer""}]}, {""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""score"": 0.128, ""priority"": 80, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.128, ""detail"": ""enviar""}]}]",
