caso_id,perfil,original,normalizado,transformaciones,valores_monetarios
caso_001,perfil_01_coloquial_presupuesto,"Buenas, tengo un presupuesto máximo de treinta y cinco mil pesos y quisiera saber qué plato de mar me alcanza.","buenas, tengo un presupuesto máximo de treinta y cinco mil pesos y quisiera saber qué plato de mar me alcanza.","[""lowercase""]",[]
caso_002,perfil_01_coloquial_presupuesto,"Oiga, antes de decidir, quisiera saber cuál es el precio actual de filete a la marinera.","oiga, antes de decidir, quisiera saber cuál es el precio actual de filete a la marinera.","[""lowercase""]",[]
caso_003,perfil_01_coloquial_presupuesto,"Pana, necesito consultar precios, pero aún no he decidido qué plato quiero revisar.","pana, necesito consultar precios, pero aún no he decidido qué plato quiero revisar.","[""lowercase""]",[]
caso_004,perfil_01_coloquial_presupuesto,"Parce, antes de hacer el pedido, quisiera confirmar si reciben pagos por código QR.","parce, antes de hacer el pedido, quisiera confirmar si reciben pagos por código qr.","[""lowercase""]",[]
caso_005,perfil_01_coloquial_presupuesto,"Buenas, ¿puedo pagar una parte por efectivo y completar el resto con tarjeta?","buenas, ¿puedo pagar una parte por efectivo y completar el resto con tarjeta?","[""lowercase""]",[]
caso_006,perfil_01_coloquial_presupuesto,"Oiga, no sé cuál escoger; ¿qué plato me recomiendan si prefiero algo de sabor suave?","oiga, no sé cuál escoger; ¿qué plato me recomiendan si prefiero algo de sabor suave?","[""lowercase""]",[]
caso_007,perfil_01_coloquial_presupuesto,"Pana, ¿me pueden compartir el menú completo para revisar platos, presentaciones y precios?","pana, ¿me pueden compartir el menú completo para revisar platos, presentaciones y precios?","[""lowercase""]",[]
caso_008,perfil_01_coloquial_presupuesto,"Parce, quiero pedir una porción de mojarra frita para el almuerzo de hoy.","parce, quiero pedir una porción de mojarra frita para el almuerzo de hoy.","[""lowercase""]",[]
caso_009,perfil_01_coloquial_presupuesto,"Buenas, ¿cómo funciona el domicilio, cuánto suele tardar y qué condiciones manejan para la entrega?","buenas, ¿cómo funciona el domicilio, cuánto suele tardar y qué condiciones manejan para la entrega?","[""lowercase""]",[]
caso_010,perfil_01_coloquial_presupuesto,"Oiga, muchas gracias por la información y por ayudarme a revisar las opciones de la carta.","oiga, muchas gracias por la información y por ayudarme a revisar las opciones de la menú.","[""lowercase"", ""alias:carta""]",[]
caso_011,perfil_01_coloquial_presupuesto,"Pana, estoy entre róbalo y mojarra; ¿cuál es más suave y fácil de comer?","pana, estoy entre róbalo y mojarra; ¿cuál es más suave y fácil de comer?","[""lowercase""]",[]
caso_012,perfil_01_coloquial_presupuesto,"Parce, quisiera saber cuáles almuerzos ejecutivos tienen disponibles dentro de la carta regular.","parce, quisiera saber cuáles almuerzos ejecutivos tienen disponibles dentro de la menú regular.","[""lowercase"", ""alias:carta""]",[]
caso_013,perfil_01_coloquial_presupuesto,"Buenas, ¿qué opciones de la carta pueden ofrecer sin lácteos, teniendo en cuenta esa restricción?","buenas, ¿qué opciones de la menú pueden ofrecer sin lácteos, teniendo en cuenta esa restricción?","[""lowercase"", ""alias:carta""]",[]
caso_014,perfil_01_coloquial_presupuesto,"Oiga, no conozco esa preparación; ¿me explican qué significa pedir un pescado a la marinera?","oiga, no conozco esa preparación; ¿me explican qué significa pedir un pescado a la marinera?","[""lowercase""]",[]
caso_015,perfil_01_coloquial_presupuesto,"Pana, antes de escoger, quisiera saber qué ingredientes y acompañamientos incluye arroz con camarón.","pana, antes de escoger, quisiera saber qué ingredientes y acompañamientos incluye arroz con camarón.","[""lowercase""]",[]
caso_016,perfil_01_coloquial_presupuesto,"Parce, ¿hoy tienen disponible mojarra frita o ya se terminó para el servicio de almuerzo?","parce, ¿hoy tienen disponible mojarra frita o ya se terminó para el servicio de almuerzo?","[""lowercase""]",[]
caso_017,perfil_01_coloquial_presupuesto,"Buenas, quisiera revisar cuáles pescados de la carta preparan al vapor.","buenas, quisiera revisar cuáles pescados de la menú preparan al vapor.","[""lowercase"", ""alias:carta""]",[]
