caso_id,perfil,original,normalizado,transformaciones,valores_monetarios
caso_001,cliente_01_estudiante,"¿reciben nequi, pana?","¿reciben nequi, pana?",0,[]
caso_002,cliente_01_estudiante,"parce, ¿reciben nequi?","parce, ¿reciben nequi?",0,[]
caso_003,cliente_01_estudiante,"¿puedo pagar con tarjeta, nea?","¿puedo pagar con tarjeta, nea?",0,[]
caso_004,cliente_01_estudiante,"tienen corrientazo, pana?","tienen almuerzo almuerzo ejecutivo, pana?",2,[]
caso_005,cliente_01_estudiante,quiero una hamburguesa,quiero una hamburguesa,0,[]
caso_006,cliente_01_estudiante,¿reciben nequi?,¿reciben nequi?,0,[]
caso_007,cliente_01_estudiante,Me regala un cazuela,por favor me da un cazuela,2,[]
caso_008,cliente_01_estudiante,¿qué almuerzo tienen barato?,¿qué almuerzo tienen barato?,0,[]
caso_009,cliente_01_estudiante,necesito pedir un ejecutivo,necesito pedir un almuerzo ejecutivo,1,[]
caso_010,cliente_01_estudiante,"¿puedo pagar con tarjeta, nea?","¿puedo pagar con tarjeta, nea?",0,[]
caso_011,cliente_01_estudiante,qué puedo pedir con 15 mil?,qué puedo pedir con 15 mil?,0,[]
caso_012,cliente_01_estudiante,"algo por menos de 15 mil, nea?","algo por menos de 15 mil, nea?",0,[]
caso_013,cliente_01_estudiante,me regala un ejecutivo,por favor me da un almuerzo ejecutivo,2,[]
caso_014,cliente_01_estudiante,algo por menos de veinte lucas?,algo por menos de veinte lucas?,0,[20000]
caso_015,cliente_01_estudiante,"nea, tienen corrientazo?","nea, tienen almuerzo almuerzo ejecutivo?",2,[]
caso_016,cliente_01_estudiante,"bro, ¿reciben nequi?","bro, ¿reciben nequi?",0,[]
caso_017,cliente_01_estudiante,¿tienen daviplata?,¿tienen daviplata?,0,[]
caso_018,cliente_01_estudiante,"parce, algo por menos de 15 mil?","parce, algo por menos de 15 mil?",0,[]
caso_019,cliente_01_estudiante,Necesito pedir un ejecutivo,necesito pedir un almuerzo ejecutivo,2,[]
caso_020,cliente_01_estudiante,tienen corrientazo?,tienen almuerzo almuerzo ejecutivo?,2,[]
caso_021,cliente_01_estudiante,qué puedo pedir con 15 mil?,qué puedo pedir con 15 mil?,0,[]
caso_022,cliente_01_estudiante,"parce, ¿tienen daviplata?","parce, ¿tienen daviplata?",0,[]
