caso_id,mensaje,intencion_esperada,subintencion_esperada,intencion_resuelta,subintencion_resuelta,confianza,estado,requiere_aclaracion_esperado,requiere_aclaracion_resuelto,modo_intervencion,razon_aclaracion,slots_faltantes,clave_pregunta,mensaje_aclaracion,intencion_correcta,subintencion_correcta,aclaracion_correcta,reglas_aplicadas,candidatos,error
caso_001,"Parce, ¿qué almuerzo tienen barato?",precio,solicitar_recomendacion_por_presupuesto,precio,solicitar_recomendacion_por_presupuesto,0.5345729929321927,resolved,False,False,resolved,,[],,,True,True,True,"[""PRIORITY_BUDGET""]","[{""intent"": ""precio"", ""subintent"": ""solicitar_recomendacion_por_presupuesto"", ""score"": 0.52, ""priority"": 95, ""reasons"": [{""source"": ""PriorityRule"", ""weight"": 0.52, ""detail"": ""budget_recommendation""}]}, {""intent"": ""catalogo"", ""subintent"": ""consultar_producto"", ""score"": 0.096, ""priority"": 70, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""tener""}]}]",
caso_002,¿Hay ejecutivo hoy?,catalogo,consultar_categoria,catalogo,consultar_categoria,0.1981229603383441,resolved,False,False,resolved,,[],,,True,True,True,[],"[{""intent"": ""catalogo"", ""subintent"": ""consultar_categoria"", ""score"": 0.18, ""priority"": 70, ""reasons"": [{""source"": ""PhraseMatcher"", ""weight"": 0.18, ""detail"": ""CATEGORIA:almuerzos_ejecutivos""}]}, {""intent"": ""catalogo"", ""subintent"": ""consultar_producto"", ""score"": 0.096, ""priority"": 70, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""haber""}]}]",
caso_003,¿Qué puedo pedir con veinte lucas?,precio,solicitar_recomendacion_por_presupuesto,precio,solicitar_recomendacion_por_presupuesto,0.9221989226338723,resolved,False,False,resolved,,[],,,True,True,True,"[""PRIORITY_BUDGET""]","[{""intent"": ""precio"", ""subintent"": ""solicitar_recomendacion_por_presupuesto"", ""score"": 1.68, ""priority"": 95, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.58, ""detail"": ""PRICE_BUDGET""}, {""source"": ""Matcher"", ""weight"": 0.58, ""detail"": ""PRICE_BUDGET""}, {""source"": ""PriorityRule"", ""weight"": 0.52, ""detail"": ""budget_recommendation""}]}, {""intent"": ""pedido"", ""subintent"": ""iniciar_pedido"", ""score"": 0.192, ""priority"": 90, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.192, ""detail"": ""pedir""}]}]",
caso_004,¿Reciben Nequi?,pago,consultar_medio_pago,pago,consultar_medio_pago,0.9092820467105875,resolved,False,False,resolved,,[],,,True,True,True,[],"[{""intent"": ""pago"", ""subintent"": ""consultar_medio_pago"", ""score"": 1.5, ""priority"": 75, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.55, ""detail"": ""PAYMENT_QUERY""}, {""source"": ""Matcher"", ""weight"": 0.55, ""detail"": ""PAYMENT_QUERY""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.12, ""detail"": ""aceptar""}, {""source"": ""PhraseMatcher"", ""weight"": 0.28, ""detail"": ""MEDIO_PAGO:nequi""}]}]",
caso_005,¿El domi cuánto vale?,domicilio,consultar_domicilio,domicilio,consultar_domicilio,0.956751814489553,resolved,False,False,resolved,,[],,,True,True,True,[],"[{""intent"": ""domicilio"", ""subintent"": ""consultar_domicilio"", ""score"": 2.04, ""priority"": 75, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.54, ""detail"": ""DELIVERY_QUERY""}, {""source"": ""Matcher"", ""weight"": 0.54, ""detail"": ""DELIVERY_QUERY""}, {""source"": ""Matcher"", ""weight"": 0.54, ""detail"": ""DELIVERY_QUERY""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.16, ""detail"": ""domicilio""}, {""source"": ""PhraseMatcher"", ""weight"": 0.26, ""detail"": ""SERVICIO:domicilio""}]}, {""intent"": ""precio"", ""subintent"": ""consultar_precio_producto"", ""score"": 0.176, ""priority"": 95, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.176, ""detail"": ""valer""}]}]",
caso_006,Pásame el menú,menu,solicitar_menu,menu,solicitar_menu,0.38121660819385916,resolved,False,False,resolved,,[],,,True,True,True,[],"[{""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""score"": 0.3, ""priority"": 80, ""reasons"": [{""source"": ""PhraseMatcher"", ""weight"": 0.3, ""detail"": ""SERVICIO:menu_pdf""}]}]",
caso_007,Pásame el menú,menu,solicitar_menu,menu,solicitar_menu,0.38121660819385916,resolved,False,False,resolved,,[],,,True,True,True,[],"[{""intent"": ""menu"", ""subintent"": ""solicitar_menu"", ""score"": 0.3, ""priority"": 80, ""reasons"": [{""source"": ""PhraseMatcher"", ""weight"": 0.3, ""detail"": ""SERVICIO:menu_pdf""}]}]",
caso_008,Mándamelo otra vez,menu,reenviar_menu,menu,reenviar_menu,0.99,resolved,False,False,resolved,,[],,,True,True,True,"[""CTX_MENU_REENVIO"", ""PRIORITY_MENU_REENVIO""]","[{""intent"": ""menu"", ""subintent"": ""reenviar_menu"", ""score"": 3.15, ""priority"": 80, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.65, ""detail"": ""MENU_RETRY""}, {""source"": ""Matcher"", ""weight"": 0.65, ""detail"": ""MENU_RETRY""}, {""source"": ""Matcher"", ""weight"": 0.65, ""detail"": ""MENU_RETRY""}, {""source"": ""Context"", ""weight"": 0.62, ""detail"": ""menu_previamente_enviado""}, {""source"": ""PriorityRule"", ""weight"": 0.58, ""detail"": ""explicit_again_with_menu_history""}]}]",
caso_009,¿Cuánto vale la mojarra frita?,precio,consultar_precio_producto,precio,consultar_precio_producto,0.9335695670540188,resolved,False,False,resolved,,[],,,True,True,True,"[""PRIORITY_PRICE_OVER_WANT""]","[{""intent"": ""precio"", ""subintent"": ""consultar_precio_producto"", ""score"": 1.756, ""priority"": 95, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.55, ""detail"": ""PRICE_Q_WH""}, {""source"": ""Matcher"", ""weight"": 0.55, ""detail"": ""PRICE_Q_WH""}, {""source"": ""Lemma:catalog_fallback"", ""weight"": 0.176, ""detail"": ""valer""}, {""source"": ""PriorityRule"", ""weight"": 0.48, ""detail"": ""explicit_price_with_product""}]}, {""intent"": ""catalogo"", ""subintent"": ""consultar_producto"", ""score"": 0.14, ""priority"": 70, ""reasons"": [{""source"": ""PhraseMatcher"", ""weight"": 0.14, ""detail"": ""PRODUCTO_ESPECIFICO:mojarra_frita""}]}, {""intent"": ""catalogo"", ""subintent"": ""consultar_preparacion"", ""score"": 0.1, ""priority"": 70, ""reasons"": [{""source"": ""PhraseMatcher"", ""weight"": 0.1, ""detail"": ""PREPARACION:frito""}]}]",
caso_010,¿Qué arroces tienen?,catalogo,consultar_categoria,catalogo,consultar_categoria,0.8381038178324495,resolved,False,False,resolved,,[],,,True,True,True,[],"[{""intent"": ""catalogo"", ""subintent"": ""consultar_categoria"", ""score"": 1.18, ""priority"": 70, ""reasons"": [{""source"": ""Matcher"", ""weight"": 0.5, ""detail"": ""CATEGORY_QUERY""}, {""source"": ""Matcher"", ""weight"": 0.5, ""detail"": ""CATEGORY_QUERY""}, {""source"": ""PhraseMatcher"", ""weight"": 0.18, ""detail"": ""CATEGORIA:arroces""}]}, {""intent"": ""catalogo"", ""subintent"": ""consultar_producto"", ""score"": 0.096, ""priority"": 70, ""reasons"": [{""source"": ""Lemma:catalog_fallback"", ""weight"": 0.096, ""detail"": ""tener""}]}]",
