caso_id,perfil,mensaje_original,mensaje_normalizado,intencion_esperada,entidades_fase1,entidades_phrase_matcher,cantidad_entities,cantidad_descartadas_solapamiento,error
caso_001,perfil_01_coloquial_presupuesto,"Buenas, tengo un presupuesto máximo de treinta y cinco mil pesos y quisiera saber qué plato de mar me alcanza.","buenas, tengo un presupuesto máximo de treinta y cinco mil pesos y quisiera saber qué plato de mar me alcanza.",precio,"[{""entity_type"": ""MONEY"", ""entity_id"": ""35000""}]",[],0,0,
caso_002,perfil_01_coloquial_presupuesto,"Oiga, antes de decidir, quisiera saber cuál es el precio actual de filete a la marinera.","oiga, antes de decidir, quisiera saber cuál es el precio actual de filete a la marinera.",precio,"[{""entity_type"": ""PRODUCTO_ESPECIFICO"", ""entity_id"": ""filete_a_la_marinera""}]","[{""entity_type"": ""PRODUCTO_ESPECIFICO"", ""entity_id"": ""filete_a_la_marinera"", ""canonical"": ""Filete a la Marinera"", ""text"": ""filete a la marinera"", ""normalized_text"": ""filete a la marinera"", ""start_char"": 67, ""end_char"": 87, ""start_token"": 14, ""end_token"": 18, ""priority"": 100, ""source"": ""PhraseMatcher""}, {""entity_type"": ""PREPARACION"", ""entity_id"": ""a_la_marinera"", ""canonical"": ""a_la_marinera"", ""text"": ""a la marinera"", ""normalized_text"": ""a la marinera"", ""start_char"": 74, ""end_char"": 87, ""start_token"": 15, ""end_token"": 18, ""priority"": 75, ""source"": ""PhraseMatcher""}]",2,2,
caso_003,perfil_01_coloquial_presupuesto,"Pana, necesito consultar precios, pero aún no he decidido qué plato quiero revisar.","pana, necesito consultar precios, pero aún no he decidido qué plato quiero revisar.",precio,[],[],0,0,
caso_004,perfil_01_coloquial_presupuesto,"Parce, antes de hacer el pedido, quisiera confirmar si reciben pagos por código QR.","parce, antes de hacer el pedido, quisiera confirmar si reciben pagos por código qr.",pago,"[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""pago_qr""}]","[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""pago_qr"", ""canonical"": ""pago_qr"", ""text"": ""código qr"", ""normalized_text"": ""código qr"", ""start_char"": 73, ""end_char"": 82, ""start_token"": 14, ""end_token"": 16, ""priority"": 70, ""source"": ""PhraseMatcher""}]",1,1,
caso_005,perfil_01_coloquial_presupuesto,"Buenas, ¿puedo pagar una parte por efectivo y completar el resto con tarjeta?","buenas, ¿puedo pagar una parte por efectivo y completar el resto con tarjeta?",pago,"[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""efectivo""}, {""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""tarjeta""}]","[{""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""efectivo"", ""canonical"": ""efectivo"", ""text"": ""efectivo"", ""normalized_text"": ""efectivo"", ""start_char"": 35, ""end_char"": 43, ""start_token"": 8, ""end_token"": 9, ""priority"": 70, ""source"": ""PhraseMatcher""}, {""entity_type"": ""MEDIO_PAGO"", ""entity_id"": ""tarjeta"", ""canonical"": ""Tarjeta"", ""text"": ""con tarjeta"", ""normalized_text"": ""con tarjeta"", ""start_char"": 65, ""end_char"": 76, ""start_token"": 13, ""end_token"": 15, ""priority"": 70, ""source"": ""PhraseMatcher""}]",2,1,
caso_006,perfil_01_coloquial_presupuesto,"Oiga, no sé cuál escoger; ¿qué plato me recomiendan si prefiero algo de sabor suave?","oiga, no sé cuál escoger; ¿qué plato me recomiendan si prefiero algo de sabor suave?",recomendacion,[],[],0,0,
caso_007,perfil_01_coloquial_presupuesto,"Pana, ¿me pueden compartir el menú completo para revisar platos, presentaciones y precios?","pana, ¿me pueden compartir el menú completo para revisar platos, presentaciones y precios?",menu,"[{""entity_type"": ""SERVICIO"", ""entity_id"": ""menu_pdf""}]","[{""entity_type"": ""SERVICIO"", ""entity_id"": ""menu_pdf"", ""canonical"": ""menu_pdf"", ""text"": ""menú completo"", ""normalized_text"": ""menú completo"", ""start_char"": 30, ""end_char"": 43, ""start_token"": 7, ""end_token"": 9, ""priority"": 60, ""source"": ""PhraseMatcher""}]",1,1,
caso_008,perfil_01_coloquial_presupuesto,"Parce, quiero pedir una porción de mojarra frita para el almuerzo de hoy.","parce, quiero pedir una porción de mojarra frita para el almuerzo de hoy.",pedido,"[{""entity_type"": ""PRODUCTO_ESPECIFICO"", ""entity_id"": ""mojarra_frita""}]","[{""entity_type"": ""PRODUCTO_ESPECIFICO"", ""entity_id"": ""mojarra_frita"", ""canonical"": ""Mojarra Frita"", ""text"": ""mojarra frita"", ""normalized_text"": ""mojarra frita"", ""start_char"": 35, ""end_char"": 48, ""start_token"": 7, ""end_token"": 9, ""priority"": 100, ""source"": ""PhraseMatcher""}, {""entity_type"": ""PREPARACION"", ""entity_id"": ""frito"", ""canonical"": ""frito"", ""text"": ""frita"", ""normalized_text"": ""frita"", ""start_char"": 43, ""end_char"": 48, ""start_token"": 8, ""end_token"": 9, ""priority"": 75, ""source"": ""PhraseMatcher""}]",2,1,
caso_009,perfil_01_coloquial_presupuesto,"Buenas, ¿cómo funciona el domicilio, cuánto suele tardar y qué condiciones manejan para la entrega?","buenas, ¿cómo funciona el domicilio, cuánto suele tardar y qué condiciones manejan para la entrega?",domicilio,"[{""entity_type"": ""SERVICIO"", ""entity_id"": ""domicilio""}]","[{""entity_type"": ""SERVICIO"", ""entity_id"": ""domicilio"", ""canonical"": ""domicilio"", ""text"": ""domicilio"", ""normalized_text"": ""domicilio"", ""start_char"": 26, ""end_char"": 35, ""start_token"": 6, ""end_token"": 7, ""priority"": 60, ""source"": ""PhraseMatcher""}, {""entity_type"": ""SERVICIO"", ""entity_id"": ""domicilio"", ""canonical"": ""domicilio"", ""text"": ""entrega"", ""normalized_text"": ""entrega"", ""start_char"": 91, ""end_char"": 98, ""start_token"": 17, ""end_token"": 18, ""priority"": 60, ""source"": ""PhraseMatcher""}]",2,0,
caso_010,perfil_01_coloquial_presupuesto,"Oiga, muchas gracias por la información y por ayudarme a revisar las opciones de la carta.","oiga, muchas gracias por la información y por ayudarme a revisar las opciones de la menú.",social,[],"[{""entity_type"": ""SERVICIO"", ""entity_id"": ""menu_pdf"", ""canonical"": ""menu_pdf"", ""text"": ""menú"", ""normalized_text"": ""menú"", ""start_char"": 84, ""end_char"": 88, ""start_token"": 16, ""end_token"": 17, ""priority"": 60, ""source"": ""PhraseMatcher""}]",1,0,
caso_011,perfil_01_coloquial_presupuesto,"Pana, estoy entre róbalo y mojarra; ¿cuál es más suave y fácil de comer?","pana, estoy entre róbalo y mojarra; ¿cuál es más suave y fácil de comer?",catalogo,"[{""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""robalo""}, {""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""mojarra""}]","[{""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""robalo"", ""canonical"": ""Róbalo"", ""text"": ""róbalo"", ""normalized_text"": ""róbalo"", ""start_char"": 18, ""end_char"": 24, ""start_token"": 4, ""end_token"": 5, ""priority"": 80, ""source"": ""PhraseMatcher""}, {""entity_type"": ""PRODUCTO_BASE"", ""entity_id"": ""mojarra"", ""canonical"": ""Mojarra"", ""text"": ""mojarra"", ""normalized_text"": ""mojarra"", ""start_char"": 27, ""end_char"": 34, ""start_token"": 6, ""end_token"": 7, ""priority"": 80, ""source"": ""PhraseMatcher""}]",2,0,
caso_012,perfil_01_coloquial_presupuesto,"Parce, quisiera saber cuáles almuerzos ejecutivos tienen disponibles dentro de la carta regular.","parce, quisiera saber cuáles almuerzos ejecutivos tienen disponibles dentro de la menú regular.",catalogo,"[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos""}]","[{""entity_type"": ""CATEGORIA"", ""entity_id"": ""almuerzos_ejecutivos"", ""canonical"": ""Almuerzos Ejecutivos"", ""text"": ""almuerzos ejecutivos"", ""normalized_text"": ""almuerzos ejecutivos"", ""start_char"": 29, ""end_char"": 49, ""start_token"": 5, ""end_token"": 7, ""priority"": 70, ""source"": ""PhraseMatcher""}, {""entity_type"": ""SERVICIO"", ""entity_id"": ""menu_pdf"", ""canonical"": ""menu_pdf"", ""text"": ""menú"", ""normalized_text"": ""menú"", ""start_char"": 82, ""end_char"": 86, ""start_token"": 12, ""end_token"": 13, ""priority"": 60, ""source"": ""PhraseMatcher""}]",2,0,
