id,perfil_cliente_id,mensaje,intencion_esperada,entidades_esperadas,accion_esperada,enviar_pdf,ofrecer_pdf,mencionar_envio_previo,requiere_aclaracion,respuesta_esperada_resumen
caso_001,cliente_01_estudiante,"¿reciben nequi, pana?",consultar_medios_pago,{},,False,True,False,False,Genérica generada por script
caso_002,cliente_01_estudiante,"parce, ¿reciben nequi?",consultar_medios_pago,{},,False,True,False,False,Genérica generada por script
caso_003,cliente_01_estudiante,"¿puedo pagar con tarjeta, nea?",consultar_medios_pago,{},,False,True,False,False,Genérica generada por script
caso_004,cliente_01_estudiante,"tienen corrientazo, pana?",solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_005,cliente_01_estudiante,quiero una hamburguesa,hacer_pedido,{},,False,True,False,False,Genérica generada por script
caso_006,cliente_01_estudiante,¿reciben nequi?,consultar_medios_pago,{},,False,True,False,False,Genérica generada por script
caso_007,cliente_01_estudiante,Me regala un cazuela,hacer_pedido,{},,False,True,False,False,Genérica generada por script
caso_008,cliente_01_estudiante,¿qué almuerzo tienen barato?,solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_009,cliente_01_estudiante,necesito pedir un ejecutivo,hacer_pedido,{},,False,True,False,False,Genérica generada por script
caso_010,cliente_01_estudiante,"¿puedo pagar con tarjeta, nea?",consultar_medios_pago,{},,False,True,False,False,Genérica generada por script
caso_011,cliente_01_estudiante,qué puedo pedir con 15 mil?,solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_012,cliente_01_estudiante,"algo por menos de 15 mil, nea?",solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_013,cliente_01_estudiante,me regala un ejecutivo,hacer_pedido,{},,False,True,False,False,Genérica generada por script
caso_014,cliente_01_estudiante,algo por menos de veinte lucas?,solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_015,cliente_01_estudiante,"nea, tienen corrientazo?",solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_016,cliente_01_estudiante,"bro, ¿reciben nequi?",consultar_medios_pago,{},,False,True,False,False,Genérica generada por script
caso_017,cliente_01_estudiante,¿tienen daviplata?,consultar_medios_pago,{},,False,True,False,False,Genérica generada por script
caso_018,cliente_01_estudiante,"parce, algo por menos de 15 mil?",solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_019,cliente_01_estudiante,Necesito pedir un ejecutivo,hacer_pedido,{},,False,True,False,False,Genérica generada por script
caso_020,cliente_01_estudiante,tienen corrientazo?,solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_021,cliente_01_estudiante,qué puedo pedir con 15 mil?,solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_022,cliente_01_estudiante,"parce, ¿tienen daviplata?",consultar_medios_pago,{},,False,True,False,False,Genérica generada por script
caso_023,cliente_01_estudiante,¿puedo pagar con tarjeta?,consultar_medios_pago,{},,False,True,False,False,Genérica generada por script
caso_024,cliente_01_estudiante,"pana, ¿qué almuerzo tienen barato?",solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_025,cliente_01_estudiante,"nea, se puede pagar con transferencia?",consultar_medios_pago,{},,False,True,False,False,Genérica generada por script
caso_026,cliente_01_estudiante,"Mándeme una pescado, parce",hacer_pedido,{},,False,True,False,False,Genérica generada por script
caso_027,cliente_01_estudiante,"nea, algo por menos de 15 mil?",solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_028,cliente_01_estudiante,tienen corrientazo?,solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_029,cliente_01_estudiante,"nea, algo por menos de treinta lucas?",solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_030,cliente_01_estudiante,"quiero una combo, nea",hacer_pedido,{},,False,True,False,False,Genérica generada por script
caso_031,cliente_01_estudiante,"bro, se puede pagar con transferencia?",consultar_medios_pago,{},,False,True,False,False,Genérica generada por script
caso_032,cliente_01_estudiante,"qué puedo pedir con veinte lucas, nea?",solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_033,cliente_01_estudiante,¿reciben nequi?,consultar_medios_pago,{},,False,True,False,False,Genérica generada por script
caso_034,cliente_01_estudiante,algo por menos de veinte lucas?,solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_035,cliente_01_estudiante,"pana, necesito pedir un ejecutivo",hacer_pedido,{},,False,True,False,False,Genérica generada por script
caso_036,cliente_01_estudiante,necesito pedir un cazuela,hacer_pedido,{},,False,True,False,False,Genérica generada por script
caso_037,cliente_01_estudiante,¿qué almuerzo tienen barato?,solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_038,cliente_01_estudiante,qué puedo pedir con 15 mil?,solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_039,cliente_01_estudiante,"¿reciben nequi, pana?",consultar_medios_pago,{},,False,True,False,False,Genérica generada por script
caso_040,cliente_01_estudiante,"qué puedo pedir con 15 mil, bro?",solicitar_recomendacion_por_presupuesto,{},,False,True,False,False,Genérica generada por script
caso_041,cliente_02_oficinista,"Joven, me regala la cuenta",solicitar_factura,{},,False,True,False,False,Genérica generada por script
caso_042,cliente_02_oficinista,Por donde viene el domiciliario?,consultar_tiempo_entrega,{},,False,True,False,False,Genérica generada por script
