caso_id,perfil,mensaje_original,mensaje_normalizado,senales_sintacticas,extraccion_sintactica,error
caso_001,perfil_01_coloquial_presupuesto,"Parce, tengo un presupuesto máximo de treinta y cinco mil pesos y quisiera saber qué plato de mar me alcanza. Quiero ver qué me alcanza con ese monto; todavía no armen el pedido.","parce, tengo un presupuesto máximo de treinta y cinco mil pesos y quisiera saber qué plato de mar me alcanza. quiero ver qué me alcanza con ese monto; todavía no armen el pedido.","[{""rule_id"": ""PREPARATION_PRODUCT"", ""text"": ""tengo"", ""start_token"": 2, ""end_token"": 3}, {""rule_id"": ""ORDER_MULTI_PRODUCT"", ""text"": ""treinta y"", ""start_token"": 7, ""end_token"": 9}, {""rule_id"": ""ORDER_MULTI_PRODUCT"", ""text"": ""treinta y cinco"", ""start_token"": 7, ""end_token"": 10}, {""rule_id"": ""ORDER_QUANTIFIED_PRODUCT"", ""text"": ""cinco"", ""start_token"": 9, ""end_token"": 10}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""quisiera"", ""start_token"": 13, ""end_token"": 14}, {""rule_id"": ""CATEGORY_QUERY"", ""text"": ""qué"", ""start_token"": 15, ""end_token"": 16}, {""rule_id"": ""PREPARATION_DEFINITION"", ""text"": ""qué"", ""start_token"": 15, ""end_token"": 16}, {""rule_id"": ""PREPARATION_SEARCH"", ""text"": ""qué"", ""start_token"": 15, ""end_token"": 16}, {""rule_id"": ""PRICE_Q_WH"", ""text"": ""qué"", ""start_token"": 15, ""end_token"": 16}, {""rule_id"": ""ORDER_SELECT_PREPARATION_COMMAND"", ""text"": ""quiero"", ""start_token"": 22, ""end_token"": 23}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""quiero"", ""start_token"": 22, ""end_token"": 23}, {""rule_id"": ""CATEGORY_QUERY"", ""text"": ""qué"", ""start_token"": 24, ""end_token"": 25}, {""rule_id"": ""PREPARATION_DEFINITION"", ""text"": ""qué"", ""start_token"": 24, ""end_token"": 25}, {""rule_id"": ""PREPARATION_SEARCH"", ""text"": ""qué"", ""start_token"": 24, ""end_token"": 25}, {""rule_id"": ""PRICE_Q_WH"", ""text"": ""qué"", ""start_token"": 24, ""end_token"": 25}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""pedido"", ""start_token"": 35, ""end_token"": 36}]","{""quantities"": [1], ""monetary_values"": [5000], ""has_negation"": true, ""referenced_entities"": []}",
caso_002,perfil_01_coloquial_presupuesto,"Parce, necesito saber esto: quiero consultar el estado del domicilio de mi pedido. Necesito seguimiento de una entrega ya creada, no conocer las condiciones generales del servicio.","parce, necesito saber esto: quiero consultar el estado del domicilio de mi pedido. necesito seguimiento de una entrega ya creada, no conocer las condiciones generales del servicio.","[{""rule_id"": ""INVOICE_QUERY"", ""text"": ""necesito"", ""start_token"": 2, ""end_token"": 3}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""necesito"", ""start_token"": 2, ""end_token"": 3}, {""rule_id"": ""ORDER_SELECT_PREPARATION_COMMAND"", ""text"": ""quiero"", ""start_token"": 6, ""end_token"": 7}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""quiero"", ""start_token"": 6, ""end_token"": 7}, {""rule_id"": ""DELIVERY_STATUS"", ""text"": ""estado del domicilio"", ""start_token"": 9, ""end_token"": 12}, {""rule_id"": ""DELIVERY_STATUS"", ""text"": ""estado del domicilio de mi pedido"", ""start_token"": 9, ""end_token"": 15}, {""rule_id"": ""DELIVERY_STATUS"", ""text"": ""estado del domicilio de mi pedido. necesito seguimiento de una entrega"", ""start_token"": 9, ""end_token"": 21}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""pedido"", ""start_token"": 14, ""end_token"": 15}, {""rule_id"": ""INVOICE_QUERY"", ""text"": ""necesito"", ""start_token"": 16, ""end_token"": 17}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""necesito"", ""start_token"": 16, ""end_token"": 17}, {""rule_id"": ""DELIVERY_STATUS"", ""text"": ""seguimiento de una entrega"", ""start_token"": 17, ""end_token"": 21}, {""rule_id"": ""ORDER_SELECT_PREPARATION"", ""text"": ""una"", ""start_token"": 19, ""end_token"": 20}]","{""quantities"": [1], ""monetary_values"": [], ""has_negation"": true, ""referenced_entities"": []}",
caso_003,perfil_01_coloquial_presupuesto,"Pana, voy con esta pregunta: necesito consultar precios, pero aún no he decidido qué plato quiero revisar. Quiero consultar un precio, pero aún no he escogido el plato.","pana, voy con esta pregunta: necesito consultar precios, pero aún no he decidido qué plato quiero revisar. quiero consultar un precio, pero aún no he escogido el plato.","[{""rule_id"": ""INVOICE_QUERY"", ""text"": ""necesito"", ""start_token"": 7, ""end_token"": 8}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""necesito"", ""start_token"": 7, ""end_token"": 8}, {""rule_id"": ""PRICE_GENERAL"", ""text"": ""precios"", ""start_token"": 9, ""end_token"": 10}, {""rule_id"": ""CATEGORY_QUERY"", ""text"": ""qué"", ""start_token"": 16, ""end_token"": 17}, {""rule_id"": ""PREPARATION_DEFINITION"", ""text"": ""qué"", ""start_token"": 16, ""end_token"": 17}, {""rule_id"": ""PREPARATION_SEARCH"", ""text"": ""qué"", ""start_token"": 16, ""end_token"": 17}, {""rule_id"": ""PRICE_Q_WH"", ""text"": ""qué"", ""start_token"": 16, ""end_token"": 17}, {""rule_id"": ""ORDER_SELECT_PREPARATION_COMMAND"", ""text"": ""quiero"", ""start_token"": 18, ""end_token"": 19}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""quiero"", ""start_token"": 18, ""end_token"": 19}, {""rule_id"": ""ORDER_SELECT_PREPARATION_COMMAND"", ""text"": ""quiero"", ""start_token"": 21, ""end_token"": 22}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""quiero"", ""start_token"": 21, ""end_token"": 22}, {""rule_id"": ""PRICE_GENERAL"", ""text"": ""precio"", ""start_token"": 24, ""end_token"": 25}, {""rule_id"": ""PRICE_PRODUCT_TRAILING"", ""text"": ""precio"", ""start_token"": 24, ""end_token"": 25}]","{""quantities"": [1], ""monetary_values"": [], ""has_negation"": true, ""referenced_entities"": []}",
caso_004,perfil_01_coloquial_presupuesto,"Parce, estoy cuidando las lucas, pero ahora no pregunto por precios: antes de hacer el pedido, quisiera confirmar si reciben pagos por código QR. Solo quiero saber si aceptan ese medio; todavía no estoy pagando un pedido.","parce, estoy cuidando las lucas, pero ahora no pregunto por precios: antes de hacer el pedido, quisiera confirmar si reciben pagos por código qr. solo quiero saber si aceptan ese medio; todavía no estoy pagando un pedido.","[{""rule_id"": ""PRICE_GENERAL"", ""text"": ""precios"", ""start_token"": 12, ""end_token"": 13}, {""rule_id"": ""PREPARATION_PRODUCT"", ""text"": ""hacer"", ""start_token"": 16, ""end_token"": 17}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""pedido"", ""start_token"": 18, ""end_token"": 19}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""quisiera"", ""start_token"": 20, ""end_token"": 21}, {""rule_id"": ""PAYMENT_QUERY"", ""text"": ""reciben"", ""start_token"": 23, ""end_token"": 24}, {""rule_id"": ""ORDER_SELECT_PREPARATION_COMMAND"", ""text"": ""quiero"", ""start_token"": 30, ""end_token"": 31}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""quiero"", ""start_token"": 30, ""end_token"": 31}, {""rule_id"": ""PAYMENT_QUERY"", ""text"": ""aceptan"", ""start_token"": 33, ""end_token"": 34}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""pedido"", ""start_token"": 42, ""end_token"": 43}]","{""quantities"": [1], ""monetary_values"": [], ""has_negation"": true, ""referenced_entities"": []}",
caso_005,perfil_01_coloquial_presupuesto,"Mi llave, el presupuesto lo reviso después; en este turno necesito esto: ¿puedo pagar una parte por efectivo y completar el resto con tarjeta? Necesito que el restaurante confirme si permite dividir el pago; aún no estoy efectuándolo.","mi llave, el presupuesto lo reviso después; en este turno necesito esto: ¿puedo pagar una parte por efectivo y completar el resto con tarjeta? necesito que el restaurante confirme si permite dividir el pago; aún no estoy efectuándolo.","[{""rule_id"": ""ORDER_SELECT_PREPARATION"", ""text"": ""lo"", ""start_token"": 5, ""end_token"": 6}, {""rule_id"": ""INVOICE_QUERY"", ""text"": ""necesito"", ""start_token"": 12, ""end_token"": 13}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""necesito"", ""start_token"": 12, ""end_token"": 13}, {""rule_id"": ""PAYMENT_QUERY"", ""text"": ""pagar"", ""start_token"": 17, ""end_token"": 18}, {""rule_id"": ""ORDER_SELECT_PREPARATION"", ""text"": ""una"", ""start_token"": 18, ""end_token"": 19}, {""rule_id"": ""PAYMENT_MIXED"", ""text"": ""parte por efectivo y"", ""start_token"": 19, ""end_token"": 23}, {""rule_id"": ""INVOICE_QUERY"", ""text"": ""necesito"", ""start_token"": 29, ""end_token"": 30}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""necesito"", ""start_token"": 29, ""end_token"": 30}, {""rule_id"": ""CATEGORY_QUERY"", ""text"": ""que"", ""start_token"": 30, ""end_token"": 31}, {""rule_id"": ""PREPARATION_DEFINITION"", ""text"": ""que"", ""start_token"": 30, ""end_token"": 31}, {""rule_id"": ""PREPARATION_SEARCH"", ""text"": ""que"", ""start_token"": 30, ""end_token"": 31}, {""rule_id"": ""PRICE_Q_WH"", ""text"": ""que"", ""start_token"": 30, ""end_token"": 31}, {""rule_id"": ""PRICE_Q_WH"", ""text"": ""que el"", ""start_token"": 30, ""end_token"": 32}, {""rule_id"": ""PAYMENT_QUERY"", ""text"": ""pago"", ""start_token"": 38, ""end_token"": 39}]","{""quantities"": [1], ""monetary_values"": [], ""has_negation"": true, ""referenced_entities"": []}",
caso_006,perfil_01_coloquial_presupuesto,"Pana, aunque estoy midiendo la plata, mi solicitud concreta es: no sé cuál escoger; ¿qué plato me recomiendan si prefiero algo de sabor suave? Quiero orientación para escoger; la recomendación todavía no es un pedido.","pana, aunque estoy midiendo la plata, mi solicitud concreta es: no sé cuál escoger; ¿qué plato me recomiendan si prefiero algo de sabor suave? quiero orientación para escoger; la recomendación todavía no es un pedido.","[{""rule_id"": ""ORDER_SELECT_PREPARATION"", ""text"": ""la"", ""start_token"": 5, ""end_token"": 6}, {""rule_id"": ""PREPARATION_SEARCH"", ""text"": ""cuál"", ""start_token"": 15, ""end_token"": 16}, {""rule_id"": ""CATEGORY_QUERY"", ""text"": ""qué"", ""start_token"": 19, ""end_token"": 20}, {""rule_id"": ""PREPARATION_DEFINITION"", ""text"": ""qué"", ""start_token"": 19, ""end_token"": 20}, {""rule_id"": ""PREPARATION_SEARCH"", ""text"": ""qué"", ""start_token"": 19, ""end_token"": 20}, {""rule_id"": ""PRICE_Q_WH"", ""text"": ""qué"", ""start_token"": 19, ""end_token"": 20}, {""rule_id"": ""RECOMMENDATION_QUALITY"", ""text"": ""qué plato me recomiendan si prefiero algo de sabor suave"", ""start_token"": 19, ""end_token"": 29}, {""rule_id"": ""RECOMMENDATION_QUERY"", ""text"": ""recomiendan"", ""start_token"": 22, ""end_token"": 23}, {""rule_id"": ""PREPARATION_SEARCH"", ""text"": ""algo"", ""start_token"": 25, ""end_token"": 26}, {""rule_id"": ""ORDER_SELECT_PREPARATION_COMMAND"", ""text"": ""quiero"", ""start_token"": 30, ""end_token"": 31}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""quiero"", ""start_token"": 30, ""end_token"": 31}, {""rule_id"": ""ORDER_SELECT_PREPARATION"", ""text"": ""la"", ""start_token"": 35, ""end_token"": 36}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""pedido"", ""start_token"": 41, ""end_token"": 42}]","{""quantities"": [1], ""monetary_values"": [], ""has_negation"": true, ""referenced_entities"": []}",
caso_007,perfil_01_coloquial_presupuesto,"Parce, estoy cuidando las lucas, pero ahora no pregunto por precios: ¿me pueden compartir el menú completo para revisar platos, presentaciones y precios? Quiero recibir o ver la carta completa, no consultar un único plato.","parce, estoy cuidando las lucas, pero ahora no pregunto por precios: ¿me pueden compartir el menú completo para revisar platos, presentaciones y precios? quiero recibir o ver la menú completa, no consultar un único plato.","[{""rule_id"": ""PRICE_GENERAL"", ""text"": ""precios"", ""start_token"": 12, ""end_token"": 13}, {""rule_id"": ""PREPARATION_PRODUCT_VERBAL"", ""text"": ""pueden"", ""start_token"": 16, ""end_token"": 17}, {""rule_id"": ""MENU_REQUEST"", ""text"": ""compartir"", ""start_token"": 17, ""end_token"": 18}, {""rule_id"": ""PRICE_GENERAL"", ""text"": ""precios"", ""start_token"": 27, ""end_token"": 28}, {""rule_id"": ""ORDER_SELECT_PREPARATION_COMMAND"", ""text"": ""quiero"", ""start_token"": 29, ""end_token"": 30}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""quiero"", ""start_token"": 29, ""end_token"": 30}, {""rule_id"": ""PAYMENT_QUERY"", ""text"": ""recibir"", ""start_token"": 30, ""end_token"": 31}, {""rule_id"": ""ORDER_SELECT_PREPARATION"", ""text"": ""la"", ""start_token"": 33, ""end_token"": 34}]","{""quantities"": [1], ""monetary_values"": [], ""has_negation"": true, ""referenced_entities"": []}",
caso_008,perfil_01_coloquial_presupuesto,"Mi llave, el presupuesto lo reviso después; en este turno necesito esto: quiero pedir una porción de mojarra frita para el almuerzo de hoy. Esto sí es para pedir el producto; no estoy preguntando solamente por precio o disponibilidad.","mi llave, el presupuesto lo reviso después; en este turno necesito esto: quiero pedir una porción de mojarra frita para el almuerzo de hoy. esto sí es para pedir el producto; no estoy preguntando solamente por precio o disponibilidad.","[{""rule_id"": ""ORDER_SELECT_PREPARATION"", ""text"": ""lo"", ""start_token"": 5, ""end_token"": 6}, {""rule_id"": ""INVOICE_QUERY"", ""text"": ""necesito"", ""start_token"": 12, ""end_token"": 13}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""necesito"", ""start_token"": 12, ""end_token"": 13}, {""rule_id"": ""ORDER_SELECT_PREPARATION_COMMAND"", ""text"": ""quiero"", ""start_token"": 15, ""end_token"": 16}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""quiero"", ""start_token"": 15, ""end_token"": 16}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""pedir"", ""start_token"": 16, ""end_token"": 17}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""pedir una"", ""start_token"": 16, ""end_token"": 18}, {""rule_id"": ""ORDER_SELECT_PREPARATION"", ""text"": ""una"", ""start_token"": 17, ""end_token"": 18}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""pedir"", ""start_token"": 32, ""end_token"": 33}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""pedir el"", ""start_token"": 32, ""end_token"": 34}, {""rule_id"": ""PRICE_GENERAL"", ""text"": ""precio"", ""start_token"": 41, ""end_token"": 42}, {""rule_id"": ""PRICE_PRODUCT_TRAILING"", ""text"": ""precio"", ""start_token"": 41, ""end_token"": 42}]","{""quantities"": [1], ""monetary_values"": [], ""has_negation"": true, ""referenced_entities"": []}",
caso_009,perfil_01_coloquial_presupuesto,"Pana, aunque estoy midiendo la plata, mi solicitud concreta es: ¿cómo funciona el domicilio, cuánto suele tardar y qué condiciones manejan para la entrega? Por ahora solo quiero conocer las condiciones del domicilio; no estoy solicitando el envío.","pana, aunque estoy midiendo la plata, mi solicitud concreta es: ¿cómo funciona el domicilio, cuánto suele tardar y qué condiciones manejan para la entrega? por ahora solo quiero conocer las condiciones del domicilio; no estoy solicitando el envío.","[{""rule_id"": ""ORDER_SELECT_PREPARATION"", ""text"": ""la"", ""start_token"": 5, ""end_token"": 6}, {""rule_id"": ""DELIVERY_QUERY"", ""text"": ""cuánto"", ""start_token"": 19, ""end_token"": 20}, {""rule_id"": ""PRICE_PRODUCT_TRAILING"", ""text"": ""cuánto"", ""start_token"": 19, ""end_token"": 20}, {""rule_id"": ""PRICE_Q_WH"", ""text"": ""cuánto"", ""start_token"": 19, ""end_token"": 20}, {""rule_id"": ""CATEGORY_QUERY"", ""text"": ""qué"", ""start_token"": 23, ""end_token"": 24}, {""rule_id"": ""PREPARATION_DEFINITION"", ""text"": ""qué"", ""start_token"": 23, ""end_token"": 24}, {""rule_id"": ""PREPARATION_SEARCH"", ""text"": ""qué"", ""start_token"": 23, ""end_token"": 24}, {""rule_id"": ""PRICE_Q_WH"", ""text"": ""qué"", ""start_token"": 23, ""end_token"": 24}, {""rule_id"": ""CATALOG_PRODUCT_OFFER"", ""text"": ""manejan"", ""start_token"": 25, ""end_token"": 26}, {""rule_id"": ""INVOICE_QUERY"", ""text"": ""manejan"", ""start_token"": 25, ""end_token"": 26}, {""rule_id"": ""ORDER_SELECT_PREPARATION"", ""text"": ""la"", ""start_token"": 27, ""end_token"": 28}, {""rule_id"": ""ORDER_SELECT_PREPARATION_COMMAND"", ""text"": ""quiero"", ""start_token"": 33, ""end_token"": 34}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""quiero"", ""start_token"": 33, ""end_token"": 34}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": true, ""referenced_entities"": []}",
caso_010,perfil_01_coloquial_presupuesto,"Parce, necesito esto: quiero que envíen el pedido a domicilio. Todavía no he indicado cuál pedido ni la dirección de entrega.","parce, necesito esto: quiero que envíen el pedido a domicilio. todavía no he indicado cuál pedido ni la dirección de entrega.","[{""rule_id"": ""INVOICE_QUERY"", ""text"": ""necesito"", ""start_token"": 2, ""end_token"": 3}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""necesito"", ""start_token"": 2, ""end_token"": 3}, {""rule_id"": ""ORDER_SELECT_PREPARATION_COMMAND"", ""text"": ""quiero"", ""start_token"": 5, ""end_token"": 6}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""quiero"", ""start_token"": 5, ""end_token"": 6}, {""rule_id"": ""CATEGORY_QUERY"", ""text"": ""que"", ""start_token"": 6, ""end_token"": 7}, {""rule_id"": ""PREPARATION_DEFINITION"", ""text"": ""que"", ""start_token"": 6, ""end_token"": 7}, {""rule_id"": ""PREPARATION_SEARCH"", ""text"": ""que"", ""start_token"": 6, ""end_token"": 7}, {""rule_id"": ""PRICE_Q_WH"", ""text"": ""que"", ""start_token"": 6, ""end_token"": 7}, {""rule_id"": ""DELIVERY_REQUEST"", ""text"": ""envíen el pedido"", ""start_token"": 7, ""end_token"": 10}, {""rule_id"": ""DELIVERY_REQUEST"", ""text"": ""envíen el pedido a domicilio"", ""start_token"": 7, ""end_token"": 12}, {""rule_id"": ""DELIVERY_REQUEST"", ""text"": ""envíen el pedido a domicilio. todavía no he indicado cuál pedido"", ""start_token"": 7, ""end_token"": 19}, {""rule_id"": ""DELIVERY_REQUEST"", ""text"": ""envíen el pedido a domicilio. todavía no he indicado cuál pedido ni la dirección de entrega"", ""start_token"": 7, ""end_token"": 24}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""pedido"", ""start_token"": 9, ""end_token"": 10}, {""rule_id"": ""PREPARATION_SEARCH"", ""text"": ""cuál"", ""start_token"": 17, ""end_token"": 18}, {""rule_id"": ""ORDER_WANT_PRODUCT"", ""text"": ""pedido"", ""start_token"": 18, ""end_token"": 19}, {""rule_id"": ""ORDER_SELECT_PREPARATION"", ""text"": ""la"", ""start_token"": 20, ""end_token"": 21}, {""rule_id"": ""LOCATION_ADDRESS_REFERENCE"", ""text"": ""dirección"", ""start_token"": 21, ""end_token"": 22}]","{""quantities"": [], ""monetary_values"": [], ""has_negation"": true, ""referenced_entities"": []}",
